ImprisonRef,ImprisonSystemId,ImprisonID,Trialref,CentralTrialImprison,Imprisondate,Imprisondate_as_date,Prison,Location,Moving,Fate_in_prison,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"IM_LA_451","LA",451,"T_LA_1257",0,"1590","06_01_90_00:00:00","Tolbooth","Aberdeen",0,,"LEM","07_24_02_15:29:22","jhm","10_11_02_16:06:22"
"IM_LA_452","LA",452,"T_LA_1647",0,"4_7_1591","07_04_91_00:00:00","House","Tranent",0,,"LEM","07_24_02_15:39:51","LEM","07_24_02_15:40:01"
"IM_LA_453","LA",453,"T_LA_1647",0,,,"Tolbooth","Edinburgh",0,,"LEM","07_24_02_15:42:00","LEM","07_24_02_15:43:03"
"IM_LA_46","LA",46,"T_LA_156",0,"1_1634","01_01_34_00:00:00",,"Eyemouth",0,,"LEM","06_18_01_15:24:34","jhm","10_03_02_11:40:01"
"IM_LA_468","LA",468,"T_LA_1651",0,"1591","06_01_91_00:00:00","Pit","Seaton",0,,"LEM","07_26_02_09:31:34","jhm","10_01_02_15:01:17"
"IM_LA_469","LA",469,"T_LA_1647",0,,,"Pit","Seaton",0,,"LEM","07_26_02_09:35:24","LEM","07_26_02_09:35:29"
"IM_LA_47","LA",47,"T_LA_156",0,"28_3_1634","03_28_34_00:00:00",,"Eyemouth",0,"Released","LEM","06_18_01_15:24:52","LEM","06_18_01_15:25:50"
"IM_LA_470","LA",470,"T_LA_1674",0,,,"Tolbooth","Edinburgh",0,,"LEM","07_26_02_09:54:10","LEM","10_28_02_12:47:01"
"IM_LA_471","LA",471,"T_LA_1649",0,,,"Tolbooth","Haddington",0,,"LEM","07_26_02_10:37:06","LEM","10_28_02_12:45:31"
"IM_LA_472","LA",472,"T_LA_1651",0,"1591","06_01_91_00:00:00","Castle","Seaton",0,,"LEM","07_26_02_12:04:39","jhm","10_01_02_15:01:13"
"IM_LA_473","LA",473,"T_LA_1683",0,,,"Tolbooth","Tranent",0,,"LEM","08_01_02_10:24:50","LEM","08_01_02_10:25:12"
"IM_LA_474","LA",474,"T_LA_1727",0,,,"Tolbooth","Tranent",0,,"LEM","08_01_02_10:28:42","LEM","08_01_02_10:28:44"
"IM_LA_475","LA",475,"T_LA_1727",0,,,"Tolbooth","Edinburgh",0,,"LEM","08_01_02_10:29:17","LEM","08_01_02_10:29:22"
"IM_LA_476","LA",476,"T_LA_1683",0,,,"Tolbooth","Edinburgh",0,,"LEM","08_01_02_10:29:27","LEM","08_01_02_10:29:30"
"IM_LA_477","LA",477,"T_LA_1120",0,,,"Tolbooth","Ayr",0,,"LEM","08_01_02_10:36:20","LEM","08_01_02_10:36:29"
"IM_LA_478","LA",478,"T_LA_1748",0,,,"Tolbooth","Ayr",0,,"LEM","08_02_02_10:30:24","jhm","10_18_02_10:16:27"
"IM_LA_479","LA",479,"T_LA_1750",0,,,"Tolbooth","Irvine",0,,"LEM","08_02_02_11:47:54","LEM","08_02_02_11:48:00"
"IM_LA_48","LA",48,"T_LA_157",1,"12_1_1644","01_12_44_00:00:00","Tolbooth","Edinburgh",0,,"LEM","06_19_01_11:02:18","LEM","06_19_01_11:02:37"
"IM_LA_480","LA",480,"T_LA_1800",0,,,"Tolbooth","Kirkend_of_Kircudbright",0,,"LEM","08_14_02_11:10:52","jhm","10_18_02_10:16:08"
"IM_LA_481","LA",481,"T_LA_1799",0,,,"Tolbooth","Kirkend_of_Kircudbright",0,,"LEM","08_14_02_11:12:33","LEM","08_14_02_11:13:43"
"IM_LA_482","LA",482,"T_LA_1805",0,,,,"Fortrose",0,,"LEM","08_14_02_12:22:39","LEM","08_14_02_12:22:49"
"IM_LA_483","LA",483,"T_LA_1803",0,,,,"Fortrose",0,,"LEM","08_14_02_12:24:03","LEM","08_14_02_12:24:07"
"IM_LA_484","LA",484,"T_JO_1699",0,,,"Thieves'_Hole","Pittenweem",0,,"LEM","08_14_02_15:52:46","LEM","11_11_02_11:34:19"
"IM_LA_485","LA",485,"T_JO_1699",0,,,"Dungeon","Pittemweem",0,,"LEM","08_14_02_15:52:57","LEM","08_14_02_15:53:04"
"IM_LA_49","LA",49,"T_LA_90",1,"28_10_1598","10_28_98_00:00:00","Tolbooth","Edinburgh",0,,"LEM","06_20_01_12:45:06","LEM","06_20_01_12:45:21"
"IM_LA_490","LA",490,"T_LA_1872",0,,,"Tolbooth","Dumfries",0,,"LEM","08_26_02_10:14:24","jhm","10_18_02_10:15:51"
"IM_LA_491","LA",491,"T_LA_801",0,,,"Tolbooth","Haddington",0,,"LEM","08_26_02_10:14:41","LEM","10_28_02_12:47:43"
"IM_LA_492","LA",492,"T_LA_1900",0,"6_1632","06_01_32_00:00:00","Steeple","Lasswade",0,,"LEM","08_26_02_18:27:29","jhm","10_11_02_13:59:48"
"IM_LA_493","LA",493,"T_LA_1247",0,"3_1698","03_01_98_00:00:00","Priory","Bewlie_(in_Ross)",0,"Released","LEM","08_28_02_10:47:21","LEM","08_28_02_10:48:05"
"IM_LA_494","LA",494,"T_LA_776",0,,,"Tolbooth","Dumfries",0,,"LEM","08_28_02_11:21:15","LEM","08_28_02_11:21:21"
"IM_LA_495","LA",495,"T_LA_1937",0,"18_12_1634","12_18_34_00:00:00","Tolbooth","Haddington",0,,"LEM","08_28_02_17:36:33","LEM","10_07_02_12:52:59"
"IM_LA_496","LA",496,"T_JO_1174",0,"28_8_1649","08_28_49_00:00:00","Steeple","Inverkeithing",0,"Moved","LEM","09_02_02_11:52:24","LEM","09_02_02_11:52:50"
"IM_LA_497","LA",497,"T_JO_1174",0,,,,"Burntisland",0,,"LEM","09_02_02_12:57:48","LEM","09_02_02_12:57:54"
"IM_LA_498","LA",498,"T_LA_1977",0,,,"Steeple","Dunfermline",0,"Moved","LEM","09_02_02_13:03:52","LEM","09_02_02_13:04:01"
"IM_LA_499","LA",499,"T_LA_1977",0,"4_1649","04_01_49_00:00:00","Tolbooth","Dunfermline",0,,"LEM","09_02_02_13:04:01","jhm","10_11_02_14:00:48"
"IM_LA_5","LA",5,"T_LA_15",0,"13_7_1629","07_13_29_00:00:00","Tolbooth","Duns",1,"Moved","LEM","05_18_01_16:41:57","jhm","10_21_02_14:55:42"
"IM_LA_500","LA",500,"T_JO_575",0,,,"Tolbooth","Peebles",0,,"LEM","09_04_02_15:59:12","LEM","09_04_02_15:59:34"
"IM_LA_501","LA",501,"T_LA_2135",0,"1642","06_01_42_00:00:00","Tolbooth","Duns",0,,"LEM","09_09_02_12:38:50","jhm","10_11_02_13:56:33"
"IM_LA_502","LA",502,"T_LA_2138",0,"11_1649","11_01_49_00:00:00","Old_Exchequer_House","Edinburgh",0,,"LEM","09_10_02_15:06:51","LEM","10_07_02_10:29:56"
"IM_LA_503","LA",503,"T_LA_1115",1,,,,"Edinburgh",0,,"LEM","10_09_02_11:36:55","jhm","10_18_02_10:31:16"
"IM_LA_513","LA",513,"T_LA_852",0,,,,,0,"Released","LEM","11_06_02_14:52:27","LEM","11_06_02_14:52:28"
"IM_LA_514","LA",514,"T_LA_853",0,,,,,0,"Released","LEM","11_06_02_14:52:31","LEM","11_06_02_14:52:34"
"IM_LA_515","LA",515,"T_LA_854",0,,,,,0,"Released","LEM","11_06_02_14:52:40","LEM","11_06_02_14:52:43"
"IM_LA_516","LA",516,"T_LA_850",0,,,,,0,"Released","LEM","11_06_02_14:55:47","LEM","11_06_02_14:55:48"
"IM_LA_53","LA",53,"T_LA_175",0,,,,"Perth",0,,"LEM","06_25_01_10:30:25","jhm","10_11_02_16:15:34"
