PropertyDamageRef,PropertyDamageSystemId,PropertyDamageID,CaseRef,PropertyDamage_Type,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"PD_JO_194","JO",194,"C_JO_3086","Crops","jhm","07_03_02_15:47:22","jhm","07_03_02_15:47:28"
"PD_JO_195","JO",195,"C_JO_3086","Whole_Estate","jhm","07_03_02_15:47:30","jhm","07_03_02_15:47:36"
"PD_JO_196","JO",196,"C_EGD_297","Animals","jhm","07_04_02_11:01:02","jhm","07_04_02_11:01:06"
"PD_JO_197","JO",197,"C_EGD_2148","Mill","jhm","07_09_02_09:15:17","jhm","07_09_02_09:15:21"
"PD_JO_198","JO",198,"C_EGD_2149","Mill","jhm","07_09_02_09:38:45","jhm","07_09_02_09:38:48"
"PD_JO_199","JO",199,"C_EGD_2158","Animals","jhm","07_09_02_11:35:44","jhm","07_09_02_11:35:46"
"PD_JO_2","JO",2,"C_EGD_2120","Ale","jhm","05_16_01_16:57:28","jhm","05_16_01_16:59:17"
"PD_JO_200","JO",200,"C_EGD_2158","Whole_Estate","jhm","07_09_02_11:35:46","jhm","07_09_02_11:35:53"
"PD_JO_201","JO",201,"C_EGD_2158","Mill","jhm","07_09_02_11:35:53","jhm","07_09_02_11:35:56"
"PD_JO_202","JO",202,"C_EGD_2374","Animals","jhm","07_11_02_15:11:17","jhm","07_11_02_15:11:18"
"PD_JO_203","JO",203,"C_EGD_2374","Dairy","jhm","07_11_02_15:11:20","jhm","07_11_02_15:11:23"
"PD_JO_204","JO",204,"C_JO_3107","Dairy","jhm","07_18_02_09:01:01","jhm","07_18_02_09:01:02"
"PD_JO_205","JO",205,"C_JO_3107","Crops","jhm","07_18_02_09:01:37","jhm","07_18_02_09:01:38"
"PD_JO_206","JO",206,"C_JO_3095","Dairy","jhm","07_18_02_09:57:19","jhm","07_18_02_09:57:19"
"PD_JO_207","JO",207,"C_JO_3093","Whole_Estate","jhm","07_18_02_10:33:38","jhm","07_18_02_10:33:41"
"PD_JO_208","JO",208,"C_EGD_381","Animals","jhm","07_24_02_10:40:18","jhm","07_24_02_10:40:20"
"PD_JO_209","JO",209,"C_JO_3151","Animals","jhm","07_24_02_10:51:43","jhm","07_24_02_10:51:43"
"PD_JO_210","JO",210,"C_JO_3159","Dairy","jhm","08_01_02_14:32:04","jhm","08_01_02_14:32:05"
"PD_JO_217","JO",217,"C_EGD_1533","Boats","jhm","08_27_02_09:34:47","jhm","08_27_02_09:34:48"
"PD_JO_218","JO",218,"C_JO_3246","Dairy","jhm","08_27_02_11:43:39","jhm","08_27_02_11:43:40"
"PD_JO_219","JO",219,"C_JO_3246","Crops","jhm","08_27_02_11:45:46","jhm","08_27_02_11:45:47"
"PD_JO_220","JO",220,"C_EGD_1168","Mill","jhm","10_02_02_14:39:47","jhm","10_02_02_14:39:49"
"PD_JO_221","JO",221,"C_EGD_2264","Whole_Estate","jhm","10_24_02_16:23:05","jhm","10_24_02_16:23:13"
"PD_JO_224","JO",224,"C_EGD_385","Coal_Pit","jhm","11_05_02_15:37:23","jhm","11_05_02_15:37:28"
"PD_JO_3","JO",3,"C_JO_2632","Animals","jhm","05_17_01_12:08:14","jhm","05_17_01_12:08:17"
"PD_JO_39","JO",39,"C_EGD_400","Dairy","jhm","07_16_01_09:17:43","jhm","07_16_01_09:18:03"
"PD_JO_40","JO",40,"C_EGD_1861","Dairy","jhm","07_31_01_11:52:17","jhm","07_31_01_11:52:20"
"PD_JO_41","JO",41,"C_EGD_1861","Animals","jhm","07_31_01_12:45:34","jhm","07_31_01_12:45:35"
