Parishref,ParishId,ParishSystemId,Parish_Name,Parish_TLA,PFID,Medieval_Diocese,Medieval_Deanery,Parish_County,Parish_Burgh,Parish_NGR_Letters,Parish_NGR_Easting,Parish_NGR_Northing,Date_Comment,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"P_ST_1106",1106,"ST","Kingussie","KXG",1106,"Strathspey",,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1107",1107,"ST","Kirkcormack","KXK",1107,"Rhinns","Desnes",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1108",1108,"ST","Kilmore","KXO",1108,"Morvern","Lorn",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1109",1109,"ST","Kiltarlity","KXT",1109,"Strathspey","Inverness",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1111",1111,"ST","Kirkcaldy","KXY",1111,"Merse","Fothriff",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1112",1112,"ST","Kilchenzie","KZX",1112,"Morvern","Kintyre",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1113",1113,"ST","Kinnaird","XKA",1113,"Merse","Angus",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1114",1114,"ST","Kirkbuddo","XKB",1114,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1115",1115,"ST","Kirkbride","XKD",1115,"Teviotdale","Desnes",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1116",1116,"ST","Kearn","XKE",1116,"Garioch","Marr",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1117",1117,"ST","Kinneff","XKF",1117,"Merse","Mearns",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1118",1118,"ST","Kirkmichael","XKH",1118,"Ross",,,,"NH",705,658,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1119",1119,"ST","Kirkbride","XKI",1119,"Teviotdale","Carrick",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1120",1120,"ST","Kilmun","XKN",1120,"Morvern","Glassary",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1121",1121,"ST","Kinnoir","XKR",1121,"Strathspey","Strathbogie",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1122",1122,"ST","Keith_Marischall","XKS",1122,"Merse","Haddington",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1123",1123,"ST","Kilmuir","XKU",1123,"Isles",,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1124",1124,"ST","Kinnernie","XKY",1124,"Garioch","Marr",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1125",1125,"ST","Laggan","LAG",1125,"Strathspey","Strathspey",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1126",1126,"ST","Lairg","LAI",1126,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1127",1127,"ST","Laurencekirk","LAK",1127,"Merse","Mearns",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1129",1129,"ST","Lismore_&_Appin","LAP",1129,"Morvern","Lorn",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1130",1130,"ST","Largo","LAR",1130,"Merse","Fife",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1131",1131,"ST","Lasswade","LAS",1131,"Merse","Linlithgow",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1132",1132,"ST","Latheron","LAT",1132,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1133",1133,"ST","Lauder","LAU",1133,"Merse","Merse",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1134",1134,"ST","Lamington","LAX",1134,"Teviotdale","Lanark",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1135",1135,"ST","Lochbroom","LBR",1135,"Ross",,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1136",1136,"ST","Libberton","LBT",1136,"Teviotdale","Lanark",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1137",1137,"ST","Logiebride","LBX",1137,"South_of_Forth","Angus",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1138",1138,"ST","Lochcarron","LCA",1138,"Ross",,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1139",1139,"ST","Lochs_(Lewis)","LCH",1139,"Isles",,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1140",1140,"ST","Leochel","LXC",1140,"Garioch","Marr",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1141",1141,"ST","Leochel-Cushnie","LCU",1141,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1142",1142,"ST","Luncarty","LCX",1142,"Merse","Gowrie",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1143",1143,"ST","Little_Dunkeld","LDK",1143,"South_of_Forth",,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1144",1144,"ST","Legerwood","LEG",1144,"Merse","Merse",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1145",1145,"ST","Lethnott_&_Navar","LEN",1145,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1146",1146,"ST","Leslie","LES",1146,"Garioch","Garioch",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1147",1147,"ST","Lethendy","LET",1147,"South_of_Forth","Angus",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
