Parishref,ParishId,ParishSystemId,Parish_Name,Parish_TLA,PFID,Medieval_Diocese,Medieval_Deanery,Parish_County,Parish_Burgh,Parish_NGR_Letters,Parish_NGR_Easting,Parish_NGR_Northing,Date_Comment,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"P_ST_1231",1231,"ST","Mortlach","MLH",1231,"Garioch","Marr",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1232",1232,"ST","Melrose","MLR",1232,"Teviotdale","Teviotdale",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1233",1233,"ST","Melville","MLX",1233,"Merse","Linlithgow",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1234",1234,"ST","Monymusk","MMK",1234,"Garioch","Marr",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1235",1235,"ST","Monimail","MML",1235,"Merse","Fife",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1236",1236,"ST","Midmar","MMR",1236,"Garioch","Marr",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1237",1237,"ST","Moneydie","MND",1237,"South_of_Forth","Atholl_&_Drumalbane",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1238",1238,"ST","Moonzie","MNZ",1238,"Merse","Fife",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1239",1239,"ST","Montrose","MOE",1239,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1240",1240,"ST","Moffat","MOF",1240,"Teviotdale","Annadale",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1241",1241,"ST","Monikie","MOK",1241,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1242",1242,"ST","Mochrum","MOM",1242,"Rhinns","Farines",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1244",1244,"ST","Moulin","MOU",1244,"South_of_Forth","Atholl_&_Drumalbane",,,"NN",943,592,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1245",1245,"ST","Monkton","MOX",1245,"Teviotdale","Kyle_&_Cunningham",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1246",1246,"ST","Monkton_&_Prestwick","MPK",1246,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1247",1247,"ST","Monquhitter","MQR",1247,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1248",1248,"ST","Mordington","MRD",1248,"Merse","Merse",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1249",1249,"ST","Morton","MRT",1249,"Teviotdale","Nithsdale",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1250",1250,"ST","Morvern","MRV",1250,"Morvern","Morvern",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1251",1251,"ST","Mains_&_Strathmartine","MSM",1251,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1252",1252,"ST","Mouswald","MSW",1252,"Teviotdale","Annadale",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1253",1253,"ST","Masterton","MSX",1253,"Merse",,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1254",1254,"ST","Minto","MTO",1254,"Teviotdale","Teviotdale",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1255",1255,"ST","Moidart","MTX",1255,"Morvern","Morvern",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1256",1256,"ST","Muckhart","MUC",1256,"Merse","Fothriff",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1257",1257,"ST","Muirkirk","MUK",1257,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1258",1258,"ST","Murroes","MUR",1258,"Merse","Angus",,,"NO",460,350,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1259",1259,"ST","Muthill","MUT",1259,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1260",1260,"ST","Migvie","MVX",1260,"Garioch","Marr",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1261",1261,"ST","Mow","MWX",1261,"Teviotdale","Teviotdale",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1262",1262,"ST","Muckersie","MXE",1262,"South_of_Forth","Fife_&_Strathearn",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1263",1263,"ST","Mount_Lothian","MXL",1263,"Merse",,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1264",1264,"ST","Moy","MXY",1264,"Strathspey","Elgin",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1265",1265,"ST","Monzie","MXZ",1265,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1266",1266,"ST","Maryculter","MYC",1266,"Garioch","Aberdeen",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1267",1267,"ST","Marykirk","MYK",1267,"Merse","Mearns",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1268",1268,"ST","Maryton","MYN",1268,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1269",1269,"ST","Moy","MYX",1269,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1270",1270,"ST","Monzievaird_&_Strowan","MZS",1270,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1271",1271,"ST","Monzievaird","MZX",1271,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1272",1272,"ST","New_Abbey","NAB",1272,"Teviotdale","Desnes",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1273",1273,"ST","Newburgh","NBH",1273,"Merse","Fife",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1274",1274,"ST","Newbattle","NBL",1274,"Merse",,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1275",1275,"ST","Newburn","NBN",1275,"Merse","Fife",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1276",1276,"ST","North_Bute","NBU",1276,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1277",1277,"ST","North_Berwick","NBW",1277,"Merse","Haddington",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1278",1278,"ST","New_Cumnock","NCU",1278,"Teviotdale","Kyle_&_Cunningham",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1279",1279,"ST","New_Deer","NDR",1279,"Garioch","Buchan",,,"NJ",885,469,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1280",1280,"ST","Newdosk","NDX",1280,"Merse","Mearns",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1281",1281,"ST","Neilston","NEI",1281,"Teviotdale","Rutherglen",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1282",1282,"ST","Nenthorn","NEN",1282,"Merse","Merse",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1283",1283,"ST","Nesting","NES",1283,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1284",1284,"ST","Nigg","NGG",1284,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1285",1285,"ST","Newhills","NHS",1285,"Garioch","Aberdeen",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1286",1286,"ST","Nigg","NIG",1286,"Merse","Mearns",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1287",1287,"ST","North_Knapdale","NKN",1287,"Morvern","Kintyre",,,"NR",691,805,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1288",1288,"ST","New_Kilpatrick","NKP",1288,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1289",1289,"ST","Newlands","NLS",1289,"Teviotdale","Peebles",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1290",1290,"ST","New_Luce","NLU",1290,"Rhinns","Farines",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1291",1291,"ST","New_Monkland","NMO",1291,"Teviotdale","Rutherglen",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1292",1292,"ST","New_Machar","NMR",1292,"Garioch","Aberdeen",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1293",1293,"ST","Northmavine","NMV",1293,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1294",1294,"ST","Nairn","NRN",1294,"Strathspey","Elgin",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1295",1295,"ST","Nonakiln","NNX",1295,,,,,"NH",662,712,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1296",1296,"ST","Northrew","NRX",1296,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1297",1297,"ST","North_Ronaldsay","NSX",1297,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1298",1298,"ST","Newtyle","NTL",1298,"Merse","Angus",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1299",1299,"ST","Newton","NTN",1299,"Merse","Linlithgow",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1300",1300,"ST","North_Uist","NUS",1300,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1301",1301,"ST","Navar","NVX",1301,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1302",1302,"ST","Norwick","NWX",1302,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1303",1303,"ST","Nevay","NYX",1303,"Merse","Angus",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1304",1304,"ST","Oathlaw","OAT",1304,"Brechin",,,,"NO",470,560,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1305",1305,"ST","Obney","OBX",1305,"South_of_Forth","Atholl_&_Drumalbane",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1306",1306,"ST","Ochiltree","OCH",1306,"Teviotdale","Kyle_&_Cunningham",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1307",1307,"ST","Old_Cumnock","OCU",1307,"Teviotdale","Kyle_&_Cunningham",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1308",1308,"ST","Old_Cambus","OCX",1308,"Merse","Merse",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1309",1309,"ST","Old_Deer","ODR",1309,,,,,"NJ",978,477,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1310",1310,"ST","Olnafirth","OFX",1310,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1311",1311,"ST","Ogston","OGX",1311,"Strathspey","Elgin",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1312",1312,"ST","Oldhamstocks","OHS",1312,"Merse","Haddington",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1313",1313,"ST","Old_Kilpatrick","OKP",1313,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1314",1314,"ST","Olrig","OLR",1314,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1315",1315,"ST","Old_Luce","OLU",1315,"Rhinns","Farines",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1316",1316,"ST","Ollaberry","OLX",1316,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1317",1317,"ST","Old_Monkland","OMO",1317,"Teviotdale","Rutherglen",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1318",1318,"ST","Old_Machar","OMR",1318,"Garioch","Aberdeen",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1319",1319,"ST","Oxnam","ONM",1319,"Teviotdale","Teviotdale",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1320",1320,"ST","Ordiqhill","ORD",1320,"Garioch","Boyne",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1321",1321,"ST","Ormiston","ORM",1321,"Merse","Haddington",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1322",1322,"ST","Orphir","ORP",1322,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1323",1323,"ST","Orwell","ORW",1323,,,,,"NO",147,38,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1324",1324,"ST","Old_Roxburgh","ORX",1324,"Teviotdale","Teviotdale",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1325",1325,"ST","Oyne","OYN",1325,"Garioch","Garioch",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1326",1326,"ST","Pert","PEX",1326,"Merse","Angus",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1327",1327,"ST","Papastour","PPX",1327,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1328",1328,"ST","Paisley","PAI",1328,"Teviotdale","Rutherglen",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1329",1329,"ST","Panbride","PNB",1329,"Brechin",,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1330",1330,"ST","Papa_Westray","PWY",1330,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1331",1331,"ST","Parton","PAR",1331,"Rhinns","Glenken",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1332",1332,"ST","Peebles","PLS",1332,"Teviotdale","Peebles",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1333",1333,"ST","Pencaitland","PCL",1333,"Merse","Haddington",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1334",1334,"ST","Penicuik","PCK",1334,"Merse","Linlithgow",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1335",1335,"ST","Pennersaughs","PSX",1335,"Teviotdale","Annadale",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1336",1336,"ST","Penninghame","PEH",1336,"Rhinns","Farines",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1337",1337,"ST","Penpont","PEN",1337,"Teviotdale","Nithsdale",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1338",1338,"ST","Pentland","PLX",1338,"Merse","Linlithgow",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1339",1339,"ST","Perth","PTH",1339,"Merse","Gowrie",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1340",1340,"ST","Peterculter","PCR",1340,"Garioch","Aberdeen",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1341",1341,"ST","Peterhead","PHD",1341,"Garioch","Buchan",,,"NK",,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1342",1342,"ST","Pettinain","PTT",1342,"Teviotdale","Lanark",,,"NS",950,420,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1343",1343,"ST","Petty","PET",1343,"Strathspey","Inverness",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1344",1344,"ST","Pierston","PSX",1344,"Teviotdale","Kyle_&_Cunningham",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1345",1345,"ST","Pitsligo","PTS",1345,"Garioch","Boyne",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1346",1346,"ST","Pittenweem","PIT",1346,"Merse","Fife",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1347",1347,"ST","Pluscardine","PCX",1347,"Strathspey","Elgin",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1348",1348,"ST","Pollock","POX",1348,"Teviotdale","Rutherglen",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1349",1349,"ST","Polwarth","PWH",1349,"Merse","Merse",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1350",1350,"ST","Port_Glasgow","PTG",1350,"Teviotdale","Rutherglen",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1351",1351,"ST","Port_of_Menteith","PMH",1351,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1352",1352,"ST","Portmoak","PTM",1352,"Merse","Fothriff",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1353",1353,"ST","Portpatrick","PTP",1353,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1354",1354,"ST","Portree","POR",1354,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1355",1355,"ST","Premnay","PRM",1355,"Garioch","Garioch",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1356",1356,"ST","Preston","PRX",1356,"South_of_Forth","South_of_Forth",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1357",1357,"ST","Preston","PKX",1357,"Teviotdale","Kyle_&_Cunningham",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1358",1358,"ST","Prestonkirk","PRK",1358,"Merse","Haddington",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1359",1359,"ST","Prestonpans","PRP",1359,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_136",136,"ST","Kinnell","KLL",136,"Merse","Angus",,,"NO",600,500,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1360",1360,"ST","Prestwick_St_Nicholas","PWX",1360,"Teviotdale","Kyle_&_Cunningham",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1361",1361,"ST","Quarff","QFX",1361,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1362",1362,"ST","Kilmaluoc_in_Raasay","RYX",1362,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1363",1363,"ST","Rafford","RAF",1363,"Strathspey","Elgin",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1364",1364,"ST","Rait","RAX",1364,"Merse","Gowrie",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1365",1365,"ST","Rankilburn","RBX",1365,"Teviotdale","Teviotdale",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1366",1366,"ST","Rannoch","RNX",1366,"South_of_Forth","Atholl_&_Drumalbane",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1367",1367,"ST","Rathen","RHN",1367,"Garioch","Buchan",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1368",1368,"ST","Rathmuriel","RUX",1368,"Garioch","Garioch",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1369",1369,"ST","Ratho","RHO",1369,"Merse","Linlithgow",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1370",1370,"ST","Rathven","RAT",1370,"Garioch","Boyne",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1371",1371,"ST","Rattray","RTR",1371,"South_of_Forth","Angus",,,"NO",180,440,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1372",1372,"ST","Rayne","RAY",1372,"Garioch","Garioch",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1373",1373,"ST","Reay","REA",1373,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1374",1374,"ST","Redgorton","RED",1374,"South_of_Forth","Angus",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1375",1375,"ST","Redkirk","RKX",1375,"Teviotdale","Annadale",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1376",1376,"ST","Rendall","RLX",1376,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1377",1377,"ST","Renfrew","REN",1377,"Teviotdale","Rutherglen",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1378",1378,"ST","Rerrick","RER",1378,"Rhinns","Desnes",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1379",1379,"ST","Rescobie","RES",1379,"Merse","Angus",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1380",1380,"ST","Resolis","RSS",1380,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1381",1381,"ST","Restalrig","RGX",1381,"Merse","Linlithgow",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1382",1382,"ST","Rhu","RHU",1382,"Teviotdale","Lennox",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1383",1383,"ST","Rhynie","RYN",1383,"Strathspey","Strathbogie",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1384",1384,"ST","Riccarton","RIC",1384,"Teviotdale","Kyle_&_Cunningham",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1385",1385,"ST","Roberton","RTX",1385,"Teviotdale","Lanark",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1386",1386,"ST","Roberton","ROB",1386,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1387",1387,"ST","Rodel","RDX",1387,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1388",1388,"ST","Rogart","ROG",1388,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1389",1389,"ST","Rosemarkie","RSM",1389,"Ross",,,,"NH",737,576,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1390",1390,"ST","Rosneath","RNH",1390,"Teviotdale","Lennox",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1391",1391,"ST","Roslin","RIX",1391,"Merse","Linlithgow",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1392",1392,"ST","Rossie(clerach)","REX",1392,"Merse","Gowrie",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1393",1393,"ST","Rosskeen","RSK",1393,"Ross",,,,"NH",688,693,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1394",1394,"ST","Rosyth","RHX",1394,"South_of_Forth","Fife_&_Strathearn",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1395",1395,"ST","Rothes","RHS",1395,"Strathspey","Elgin",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1396",1396,"ST","Rothesay","ROT",1396,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1397",1397,"ST","Rothiemay","ROM",1397,"Strathspey","Strathbogie",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1398",1398,"ST","Rothiemurchus","RMX",1398,"Strathspey","Strathspey",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1399",1399,"ST","Rousay","RSX",1399,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_140",140,"ST","Cargill","CRL",140,"South_of_Forth","Angus",,,"NT",,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1400",1400,"ST","Roxburgh","RBH",1400,"Teviotdale","Teviotdale",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1402",1402,"ST","Ruthven","RUV",1402,"South_of_Forth","Angus",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1403",1403,"ST","Ruthven","RVX",1403,"Strathspey","Strathbogie",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1404",1404,"ST","Ruthwell","RWL",1404,"Teviotdale","Annadale",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1405",1405,"ST","Rhynd","RYD",1405,"Merse","Gowrie",,,"NO",182,185,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1406",1406,"ST","St_Andrews-Lhanbryde","SAB",1406,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
