CommissionRef,CommissionSystemId,CommissionID,Trialref,Commbody,Commtype,Commexists,Commdate,Commdate_as_date,Seal,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"CO_LA_593","LA",593,"T_LA_739","Privy_Council","Justiciary",1,"6_11_1629","11_06_29_00:00:00","signet",,"LEM","08_29_01_14:58:55","LEM","08_29_01_14:59:11"
"CO_LA_594","LA",594,"T_LA_740","Privy_Council","Justiciary",1,"6_11_1629","11_06_29_00:00:00","signet",,"LEM","08_29_01_15:07:10","LEM","08_29_01_15:07:29"
"CO_LA_595","LA",595,"T_LA_741","Privy_Council","Justiciary",1,"6_11_1629","11_06_29_00:00:00","signet",,"LEM","08_29_01_15:14:30","LEM","08_29_01_15:14:40"
"CO_LA_596","LA",596,"T_LA_742","Privy_Council","Justiciary",1,"6_11_1629","11_06_29_00:00:00","signet",,"LEM","08_29_01_15:16:02","LEM","08_29_01_15:16:10"
"CO_LA_597","LA",597,"T_LA_743","Privy_Council","Justiciary",1,"6_11_1629","11_06_29_00:00:00","signet",,"LEM","08_29_01_15:19:05","LEM","08_29_01_15:19:23"
"CO_LA_598","LA",598,"T_LA_744","Privy_Council","Arrest_and_Justiciary",1,"21_1_1630","01_21_30_00:00:00","signet",,"LEM","08_29_01_15:34:12","LEM","08_29_01_15:34:26"
"CO_LA_599","LA",599,"T_LA_745","Privy_Council","Arrest_and_Justiciary",1,"21_1_1629","01_21_29_00:00:00","signet",,"LEM","08_29_01_15:38:18","LEM","08_29_01_15:38:27"
"CO_LA_6","LA",6,"T_LA_28","Royal_Commision_-_Unknown_Origin",,1,"23_10_1632","10_23_32_00:00:00","Signet","An_order_for_Carlips_and_Colquhon_to_appear_for_trial.","LEM","05_21_01_15:47:03","jhm","10_21_02_16:54:40"
"CO_LA_60","LA",60,"T_LA_84","Privy_Council","Investigation",1,"3_12_1629","12_03_29_00:00:00",,"order_for_two_people_to_give_evidence_about_Hammilton's_denunciation_of_her","LEM","06_13_01_09:47:04","LEM","06_13_01_09:48:07"
"CO_LA_600","LA",600,"T_LA_746","Privy_Council","Arrest_and_Justiciary",1,"21_1_1630","01_21_30_00:00:00","signet",,"LEM","08_29_01_15:39:32","LEM","08_29_01_15:39:44"
"CO_LA_601","LA",601,"T_LA_747","Privy_Council","Arrest_and_Justiciary",1,"11_3_1629","03_11_29_00:00:00","signet",,"LEM","08_29_01_15:48:01","LEM","08_29_01_15:48:20"
"CO_LA_602","LA",602,"T_LA_748","Privy_Council","Arrest_and_Justiciary",1,"11_3_1629","03_11_29_00:00:00","signet",,"LEM","08_29_01_15:51:14","LEM","08_29_01_15:51:25"
"CO_LA_603","LA",603,"T_LA_749","Privy_Council","Justiciary",1,"11_3_1630","03_11_30_00:00:00","signet",,"LEM","08_29_01_15:54:54","LEM","08_29_01_15:55:05"
"CO_LA_604","LA",604,"T_LA_750","Privy_Council","Justiciary",1,"11_3_1630","03_11_30_00:00:00","signet",,"LEM","08_29_01_15:57:33","LEM","08_29_01_15:57:41"
"CO_LA_605","LA",605,"T_LA_751","Privy_Council","Justiciary",1,"11_3_1630","03_11_30_00:00:00","signet",,"LEM","08_29_01_15:58:36","LEM","08_29_01_15:58:45"
"CO_LA_606","LA",606,"T_LA_752","Privy_Council","Justiciary",1,"11_3_1630","03_11_30_00:00:00","signet",,"LEM","08_29_01_16:00:08","LEM","08_29_01_16:00:16"
"CO_LA_607","LA",607,"T_LA_722","Privy_Council","Justiciary",1,"11_3_1630","03_11_30_00:00:00","signet",,"LEM","08_29_01_16:01:46","LEM","08_29_01_16:01:55"
"CO_LA_608","LA",608,"T_LA_753","Privy_Council","Justiciary",1,"20_3_1630","03_20_30_00:00:00","signet",,"LEM","08_30_01_09:13:59","LEM","08_30_01_09:14:15"
"CO_LA_609","LA",609,"T_LA_754","Privy_Council","Justiciary",1,"21_4_1630","04_21_30_00:00:00","signet",,"LEM","08_30_01_09:36:12","LEM","08_30_01_09:36:21"
"CO_LA_61","LA",61,"T_LA_84","Privy_Council","Investigation",1,"10_12_1629","12_10_29_00:00:00",,"put_two_witnesses_to_the_horn_for_not_appearing_as_ordered_in_the_first_PC_reference_above.","LEM","06_13_01_09:58:03","LEM","06_13_01_09:58:57"
"CO_LA_610","LA",610,"T_LA_755","Privy_Council","Justiciary",1,"21_4_1630","04_21_30_00:00:00","signet",,"LEM","08_30_01_09:37:34","LEM","08_30_01_09:37:45"
"CO_LA_611","LA",611,"T_LA_756","Privy_Council","Justiciary",1,"21_4_1630","04_21_30_00:00:00","signet",,"LEM","08_30_01_09:41:36","LEM","08_30_01_09:41:47"
"CO_LA_612","LA",612,"T_LA_757","Privy_Council","Justiciary",1,"21_4_1630","04_21_30_00:00:00","signet",,"LEM","08_30_01_09:45:30","LEM","08_30_01_09:45:39"
