CounterStrategyRef,CounterStrategySystemId,CounterStrategyID,CaseRef,CounterStrategy_Type,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"CS_LA_51","LA",51,"C_EGD_786","Advice_Sought","LEM","07_15_02_10:43:24","LEM","11_11_02_11:19:19"
"CS_LA_52","LA",52,"C_EGD_786","Counter-magic","LEM","07_15_02_10:43:32","LEM","07_15_02_10:43:50"
"CS_LA_53","LA",53,"C_EGD_785","Prayer","LEM","07_15_02_10:54:09","LEM","07_15_02_10:54:11"
"CS_LA_54","LA",54,"C_EGD_785","Counter-magic","LEM","07_15_02_10:55:33","LEM","07_15_02_10:55:46"
"CS_LA_55","LA",55,"C_EGD_783","Counter-magic","LEM","07_15_02_16:34:01","LEM","07_15_02_16:34:02"
"CS_LA_56","LA",56,"C_EGD_316","Protective_magic","LEM","07_18_02_09:36:33","LEM","07_18_02_09:37:39"
"CS_LA_57","LA",57,"C_LA_2949","Appeasement","LEM","07_18_02_09:40:50","LEM","07_18_02_09:40:55"
"CS_LA_58","LA",58,"C_EGD_316","Appeasement","LEM","07_18_02_09:41:11","LEM","07_18_02_09:41:45"
"CS_LA_59","LA",59,"C_EGD_789","Protective_magic","LEM","07_19_02_11:54:33","LEM","07_19_02_11:54:36"
"CS_LA_6","LA",6,"C_EGD_173","Counter-magic","LEM","06_15_01_12:51:04","LEM","06_15_01_12:51:12"
"CS_LA_60","LA",60,"C_EGD_794","Appeasement","LEM","07_19_02_12:10:16","LEM","07_19_02_12:10:16"
"CS_LA_61","LA",61,"C_EGD_794","Prayer","LEM","07_19_02_12:10:17","LEM","07_19_02_12:10:19"
"CS_LA_62","LA",62,"C_LA_3135","Counter-magic","LEM","07_19_02_12:49:04","LEM","07_19_02_12:49:07"
"CS_LA_63","LA",63,"C_EGD_796","Counter-magic","LEM","07_19_02_12:55:17","LEM","07_19_02_12:55:19"
"CS_LA_64","LA",64,"C_EGD_798","Prayer","LEM","07_23_02_15:45:16","LEM","07_23_02_15:45:23"
"CS_LA_65","LA",65,"C_EGD_142","Appeasement","LEM","07_26_02_13:11:57","LEM","07_26_02_13:11:59"
"CS_LA_66","LA",66,"C_EGD_323","Appeasement","LEM","07_30_02_10:51:38","LEM","07_30_02_10:51:39"
"CS_LA_67","LA",67,"C_EGD_782","Appeasement","LEM","08_01_02_10:39:34","LEM","08_01_02_10:39:36"
"CS_LA_68","LA",68,"C_EGD_587","Prayer","LEM","08_28_02_11:04:51","LEM","08_28_02_11:04:54"
"CS_LA_69","LA",69,"C_EGD_587","Counter-magic","LEM","08_28_02_11:04:54","LEM","08_28_02_11:05:02"
"CS_LA_7","LA",7,"C_EGD_385","Appeasement","LEM","06_29_01_10:38:01","LEM","06_29_01_10:38:02"
"CS_LA_70","LA",70,"C_LA_3135","Appeasement","LEM","09_12_02_12:34:01","LEM","09_12_02_12:34:05"
"CS_LA_71","LA",71,"C_JO_2887","Scratching","LEM","10_11_02_12:14:27","LEM","10_11_02_12:14:28"
"CS_LA_72","LA",72,"C_LA_2636","Counter-magic","LEM","10_29_02_16:23:15","LEM","10_29_02_16:23:16"
"CS_LA_73","LA",73,"C_EGD_2476","Appeasement","LEM","11_06_02_10:58:45","LEM","11_06_02_10:58:46"
"CS_LA_74","LA",74,"C_EGD_1225","Counter-magic","LEM","11_18_02_16:04:30","LEM","11_18_02_16:04:31"
"CS_LA_8","LA",8,"C_EGD_402","Appeasement","LEM","07_02_01_13:37:00","LEM","07_02_01_13:37:02"
"CS_LA_9","LA",9,"C_EGD_401","Community_Healer","LEM","07_02_01_16:21:53","LEM","07_02_01_16:21:55"
