Case_personRef,Case_personID,Case_personSystemId,CaseRef,PersonRef,Involvement,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"CP_LA_3394",3394,"LA","C_EGD_29",,"Investigator","Laird_of_Quhittinghame","LEM","10_18_01_10:11:10","LEM","10_18_01_10:11:17"
"CP_LA_3395",3395,"LA","C_EGD_29","LA_227","Investigator",,"LEM","10_18_01_10:11:19","LEM","10_18_01_10:12:23"
"CP_LA_3396",3396,"LA","C_EGD_1329","LA_954","Investigator",,"LEM","10_19_01_09:54:35","LEM","10_19_01_09:55:04"
"CP_LA_3397",3397,"LA","C_EGD_1329","LA_955","Investigator",,"LEM","10_19_01_09:55:05","LEM","10_19_01_09:55:25"
"CP_LA_3398",3398,"LA","C_EGD_1329","LA_143","Investigator",,"LEM","10_19_01_09:56:44","LEM","10_19_01_09:57:19"
"CP_LA_3399",3399,"LA","C_EGD_1329","LA_956","Investigator",,"LEM","10_19_01_09:57:20","LEM","10_19_01_09:57:50"
"CP_LA_34",34,"LA","C_EGD_166","LA_44","Investigator","statement_made_where_Hamilton_denies_being_pressured_to_accuse_people_by_Home","LEM","05_18_01_16:35:40","LEM","05_18_01_16:45:54"
"CP_LA_340",340,"LA","C_EGD_847","LA_210","Investigator",,"LEM","06_25_01_14:58:43","LEM","06_25_01_14:59:49"
"CP_LA_3400",3400,"LA","C_EGD_1329","JO_871","Commissioner","elder_and_younger","LEM","10_19_01_09:58:00","jhm","10_03_02_14:56:12"
"CP_LA_3401",3401,"LA","C_EGD_1329","LA_136","Commissioner",,"LEM","10_19_01_09:58:35","LEM","10_19_01_09:59:27"
"CP_LA_3402",3402,"LA","C_EGD_1329","LA_957","Commissioner",,"LEM","10_19_01_09:59:32","LEM","10_19_01_10:00:10"
"CP_LA_3403",3403,"LA","C_EGD_1329","LA_958","Commissioner",,"LEM","10_19_01_10:00:13","LEM","10_19_01_10:00:45"
"CP_LA_3404",3404,"LA","C_EGD_1329","LA_959","Commissioner",,"LEM","10_19_01_10:00:52","LEM","10_19_01_10:01:10"
"CP_LA_3405",3405,"LA","C_EGD_1334","JO_691","Investigator",,"LEM","10_19_01_10:04:42","LEM","10_19_01_10:04:58"
"CP_LA_3406",3406,"LA","C_EGD_1334","JO_693","Investigator",,"LEM","10_19_01_10:05:06","LEM","10_19_01_10:05:13"
"CP_LA_3407",3407,"LA","C_EGD_1334","LA_956","Investigator",,"LEM","10_19_01_10:05:15","LEM","10_19_01_10:05:19"
"CP_LA_3408",3408,"LA","C_EGD_1334","LA_954","Investigator",,"LEM","10_19_01_10:05:30","LEM","10_19_01_10:06:18"
"CP_LA_3409",3409,"LA","C_EGD_1333","LA_954","Investigator","She_confessed_after_his_sermon","LEM","10_19_01_10:23:11","LEM","10_19_01_10:23:36"
"CP_LA_341",341,"LA","C_EGD_849","LA_211","Commissioner",,"LEM","06_25_01_15:09:59","LEM","06_25_01_15:10:34"
