Case_personRef,Case_personID,Case_personSystemId,CaseRef,PersonRef,Involvement,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"CP_JO_1",1,"JO","C_EGD_2120","JO_1","Sheriff-depute",,"jhm","05_16_01_14:58:32","jhm","05_16_01_15:03:18"
"CP_JO_100",100,"JO","C_EGD_1138","JO_81","Commissioner",,"jhm","06_12_01_09:59:28","jhm","06_12_01_09:59:44"
"CP_JO_104",104,"JO","C_EGD_1137","JO_82","Commissioner",,"jhm","06_12_01_10:13:34","jhm","06_12_01_10:16:00"
"CP_JO_1043",1043,"JO","C_EGD_400","JO_368","Investigator","heard_confession","jhm","07_16_01_10:19:41","jhm","07_16_01_10:23:00"
"CP_JO_1044",1044,"JO","C_EGD_400","JO_369",,"attended_trial","jhm","07_16_01_10:56:46","jhm","07_16_01_10:58:27"
"CP_JO_1045",1045,"JO","C_EGD_400","JO_370",,"attended_trial","jhm","07_16_01_11:00:25","jhm","07_16_01_11:01:20"
"CP_JO_1046",1046,"JO","C_EGD_1379","LA_47","Commissioner",,"jhm","07_16_01_12:48:53","jhm","07_16_01_12:49:21"
"CP_JO_1047",1047,"JO","C_EGD_1379","LA_348","Commissioner",,"jhm","07_16_01_12:49:25","jhm","07_16_01_12:49:29"
"CP_JO_1048",1048,"JO","C_EGD_1379","LA_347","Commissioner",,"jhm","07_16_01_12:49:32","jhm","07_16_01_12:50:19"
"CP_JO_1049",1049,"JO","C_EGD_296","LA_47","Commissioner",,"jhm","07_16_01_13:34:44","jhm","07_16_01_13:34:47"
"CP_JO_105",105,"JO","C_EGD_1137","JO_81","Commissioner",,"jhm","06_12_01_10:16:01","jhm","06_12_01_10:17:17"
"CP_JO_1050",1050,"JO","C_EGD_296","LA_348","Commissioner",,"jhm","07_16_01_13:34:50","jhm","07_16_01_13:34:52"
"CP_JO_1051",1051,"JO","C_EGD_296","LA_347","Commissioner",,"jhm","07_16_01_13:34:53","jhm","07_16_01_13:35:38"
"CP_JO_1052",1052,"JO","C_EGD_299","LA_47","Commissioner",,"jhm","07_16_01_15:05:50","jhm","07_16_01_15:05:53"
"CP_JO_1053",1053,"JO","C_EGD_299","LA_348","Commissioner",,"jhm","07_16_01_15:05:56","jhm","07_16_01_15:05:59"
"CP_JO_1054",1054,"JO","C_EGD_299","LA_347","Commissioner",,"jhm","07_16_01_15:06:02","jhm","07_16_01_15:06:10"
"CP_JO_1055",1055,"JO","C_EGD_401","LA_278","Prosecutor",,"jhm","07_16_01_15:40:05","jhm","07_16_01_15:40:52"
"CP_JO_1056",1056,"JO","C_EGD_401","LA_295","Prosecutor",,"jhm","07_16_01_15:42:51","jhm","07_16_01_15:43:09"
"CP_JO_1057",1057,"JO","C_LA_2805","LA_310","Commissioner",,"jhm","07_17_01_09:09:47","jhm","07_17_01_09:10:12"
"CP_JO_1058",1058,"JO","C_LA_2805","LA_335","Commissioner",,"jhm","07_17_01_09:10:13","jhm","07_17_01_09:10:18"
"CP_JO_1059",1059,"JO","C_LA_2805","LA_356","Commissioner",,"jhm","07_17_01_09:10:21","jhm","07_17_01_09:11:13"
"CP_JO_106",106,"JO","C_EGD_1136","JO_82","Commissioner",,"jhm","06_12_01_10:27:59","jhm","06_12_01_10:28:06"
"CP_JO_1060",1060,"JO","C_LA_2805","JO_372","Commissioner",,"jhm","07_17_01_09:11:52","jhm","07_17_01_09:12:48"
"CP_JO_1061",1061,"JO","C_LA_2805","LA_358","Commissioner",,"jhm","07_17_01_09:12:53","jhm","07_17_01_09:13:06"
"CP_JO_1062",1062,"JO","C_LA_2805","JO_373","Commissioner",,"jhm","07_17_01_09:13:39","jhm","07_17_01_09:14:30"
"CP_JO_1063",1063,"JO","C_EGD_1602","JO_371","Commissioner",,"jhm","07_17_01_09:17:55","jhm","07_17_01_09:18:14"
"CP_JO_1064",1064,"JO","C_EGD_1602","LA_335","Commissioner",,"jhm","07_17_01_09:18:16","jhm","07_17_01_09:18:23"
"CP_JO_1065",1065,"JO","C_EGD_1602","LA_356","Commissioner",,"jhm","07_17_01_09:18:23","jhm","07_17_01_09:18:27"
"CP_JO_1066",1066,"JO","C_EGD_1602","JO_373","Commissioner",,"jhm","07_17_01_09:18:28","jhm","07_17_01_09:18:36"
"CP_JO_1067",1067,"JO","C_EGD_1602","JO_372","Commissioner",,"jhm","07_17_01_09:18:38","jhm","07_17_01_09:18:44"
"CP_JO_1068",1068,"JO","C_EGD_1602","LA_358","Commissioner",,"jhm","07_17_01_09:18:46","jhm","07_17_01_09:18:57"
"CP_JO_1069",1069,"JO","C_EGD_1601","LA_335","Commissioner",,"jhm","07_17_01_09:22:38","jhm","07_17_01_09:22:41"
"CP_JO_107",107,"JO","C_EGD_1136","JO_81","Commissioner",,"jhm","06_12_01_10:28:09","jhm","06_12_01_10:28:15"
"CP_JO_1070",1070,"JO","C_EGD_1601","JO_372","Commissioner",,"jhm","07_17_01_09:22:44","jhm","07_17_01_09:22:53"
"CP_JO_1071",1071,"JO","C_EGD_427","JO_372","Commissioner",,"jhm","07_17_01_09:25:24","jhm","07_17_01_09:25:30"
"CP_JO_1072",1072,"JO","C_EGD_427","LA_335","Commissioner",,"jhm","07_17_01_09:25:33","jhm","07_17_01_09:25:39"
"CP_JO_1073",1073,"JO","C_EGD_426","LA_356","Commissioner",,"jhm","07_17_01_09:27:39","jhm","07_17_01_10:15:47"
"CP_JO_1074",1074,"JO","C_EGD_426","LA_357","Commissioner",,"jhm","07_17_01_09:27:47","jhm","07_17_01_10:16:05"
"CP_JO_1075",1075,"JO","C_EGD_387","JO_371","Commissioner",,"jhm","07_17_01_09:40:57","jhm","07_17_01_09:41:04"
"CP_JO_1076",1076,"JO","C_EGD_387","LA_335","Commissioner",,"jhm","07_17_01_09:41:06","jhm","07_17_01_09:41:08"
"CP_JO_1077",1077,"JO","C_EGD_387","LA_356","Commissioner",,"jhm","07_17_01_09:41:10","jhm","07_17_01_09:41:17"
"CP_JO_1078",1078,"JO","C_EGD_387","JO_373","Commissioner",,"jhm","07_17_01_09:41:19","jhm","07_17_01_09:41:23"
"CP_JO_1079",1079,"JO","C_EGD_387","JO_372","Commissioner",,"jhm","07_17_01_09:41:25","jhm","07_17_01_09:41:32"
"CP_JO_108",108,"JO","C_EGD_1605","JO_97","Investigator",,"jhm","06_12_01_16:22:31","jhm","06_12_01_16:26:06"
"CP_JO_1080",1080,"JO","C_EGD_387","LA_358","Commissioner",,"jhm","07_17_01_09:41:33","jhm","07_17_01_09:41:43"
"CP_JO_1081",1081,"JO","C_EGD_1598","JO_371","Commissioner",,"jhm","07_17_01_09:52:37","jhm","07_17_01_09:52:44"
"CP_JO_1082",1082,"JO","C_EGD_1598","LA_335","Commissioner",,"jhm","07_17_01_09:52:46","jhm","07_17_01_09:52:48"
"CP_JO_1083",1083,"JO","C_EGD_1598","LA_356","Commissioner",,"jhm","07_17_01_09:52:49","jhm","07_17_01_09:52:52"
"CP_JO_1084",1084,"JO","C_EGD_1598","JO_373","Commissioner",,"jhm","07_17_01_09:52:53","jhm","07_17_01_09:52:59"
"CP_JO_1085",1085,"JO","C_EGD_1598","JO_372","Commissioner",,"jhm","07_17_01_09:53:01","jhm","07_17_01_09:53:10"
"CP_JO_1086",1086,"JO","C_EGD_1598","LA_358","Commissioner",,"jhm","07_17_01_09:53:11","jhm","07_17_01_09:53:21"
"CP_JO_1087",1087,"JO","C_EGD_1604","JO_372","Commissioner",,"jhm","07_17_01_09:55:52","jhm","07_17_01_09:55:59"
"CP_JO_1088",1088,"JO","C_EGD_1604","LA_335","Commissioner",,"jhm","07_17_01_09:56:07","jhm","07_17_01_09:56:11"
"CP_JO_1089",1089,"JO","C_EGD_432","JO_371","Commissioner",,"jhm","07_17_01_10:13:31","jhm","07_17_01_10:13:38"
"CP_JO_109",109,"JO","C_EGD_1605","LA_22","Investigator",,"jhm","06_12_01_16:26:32","jhm","06_12_01_16:27:28"
"CP_JO_1090",1090,"JO","C_EGD_432","LA_335","Commissioner",,"jhm","07_17_01_10:13:39","jhm","07_17_01_10:13:41"
"CP_JO_1091",1091,"JO","C_EGD_432","LA_356","Commissioner",,"jhm","07_17_01_10:13:43","jhm","07_17_01_10:13:50"
"CP_JO_1092",1092,"JO","C_EGD_432","JO_373","Commissioner",,"jhm","07_17_01_10:13:51","jhm","07_17_01_10:13:56"
"CP_JO_1093",1093,"JO","C_EGD_432","JO_372","Commissioner",,"jhm","07_17_01_10:13:58","jhm","07_17_01_10:14:03"
"CP_JO_1094",1094,"JO","C_EGD_432","LA_358","Commissioner",,"jhm","07_17_01_10:14:04","jhm","07_17_01_10:14:14"
"CP_JO_1095",1095,"JO","C_EGD_426","LA_358","Commissioner",,"jhm","07_17_01_10:16:08","jhm","07_17_01_10:16:15"
"CP_JO_1096",1096,"JO","C_LA_2788","JO_307","Minister","to_confer_and_pray_with_accused","jhm","07_17_01_15:30:19","jhm","07_17_01_15:30:41"
"CP_JO_1097",1097,"JO","C_LA_2788","JO_295","Minister","to_confer_and_pray_with_accused","jhm","07_17_01_15:30:42","jhm","07_17_01_15:31:09"
"CP_JO_1098",1098,"JO","C_LA_2788","JO_374","Minister","to_confer_and_pray_with_accused","jhm","07_17_01_15:45:31","jhm","07_17_01_15:46:26"
"CP_JO_1099",1099,"JO","C_LA_2788","LA_1401","Minister","to_confer_and_pray_with_her","jhm","07_17_01_15:46:30","jhm","12_15_03_10:27:14"
"CP_JO_110",110,"JO","C_EGD_1605","JO_99","Investigator","heard_her_confession","jhm","06_13_01_09:28:48","LEM","07_12_02_10:25:46"
"CP_JO_1100",1100,"JO","C_LA_2788","JO_375","Minister","to_confer_and_pray_with_her","jhm","07_17_01_15:46:59","jhm","07_17_01_15:47:48"
"CP_JO_1101",1101,"JO","C_LA_2788","JO_302","Minister","to_confer_and_pray_with_her","jhm","07_17_01_15:47:52","jhm","07_17_01_15:48:07"
"CP_JO_1102",1102,"JO","C_LA_2788","JO_376","Minister","to_confer_and_pray_with_her","jhm","07_17_01_15:48:11","jhm","07_17_01_15:49:50"
"CP_JO_1103",1103,"JO","C_LA_2788","JO_377","Minister","to_confer_with_her_and_pray","jhm","07_17_01_15:49:50","jhm","07_17_01_16:27:46"
"CP_JO_1104",1104,"JO","C_EGD_1408","LA_343","Commissioner",,"jhm","07_18_01_09:27:31","jhm","07_18_01_09:27:42"
"CP_JO_1105",1105,"JO","C_EGD_1408","LA_978","Commissioner",,"jhm","07_18_01_09:27:44","jhm","11_18_03_10:20:10"
"CP_JO_1106",1106,"JO","C_EGD_1408","LA_280","Commissioner",,"jhm","07_18_01_09:30:21","jhm","07_18_01_09:30:27"
"CP_JO_1107",1107,"JO","C_EGD_1408","JO_379","Commissioner",,"jhm","07_18_01_09:30:29","jhm","07_18_01_09:31:10"
"CP_JO_1108",1108,"JO","C_EGD_1408","JO_380","Commissioner",,"jhm","07_18_01_09:31:14","jhm","07_18_01_09:31:35"
"CP_JO_1109",1109,"JO","C_EGD_1408","JO_381","Commissioner",,"jhm","07_18_01_09:31:37","jhm","07_18_01_09:32:11"
"CP_JO_111",111,"JO","C_EGD_1328","JO_100","Investigator",,"jhm","06_13_01_10:19:40","jhm","06_13_01_10:20:38"
"CP_JO_1110",1110,"JO","C_EGD_1408","JO_310","Minister",,"jhm","07_18_01_09:37:24","jhm","07_18_01_09:37:35"
"CP_JO_1111",1111,"JO","C_EGD_1407","LA_343","Commissioner",,"jhm","07_18_01_09:44:29","jhm","07_18_01_09:44:36"
"CP_JO_1112",1112,"JO","C_EGD_1407","LA_978","Commissioner",,"jhm","07_18_01_09:44:38","jhm","11_18_03_10:20:10"
"CP_JO_1113",1113,"JO","C_EGD_1407","LA_280","Commissioner",,"jhm","07_18_01_09:44:50","jhm","07_18_01_09:44:56"
"CP_JO_1114",1114,"JO","C_EGD_1407","JO_379","Commissioner",,"jhm","07_18_01_09:44:58","jhm","07_18_01_09:45:05"
"CP_JO_1115",1115,"JO","C_EGD_1407","JO_380","Commissioner",,"jhm","07_18_01_09:45:07","jhm","07_18_01_09:45:12"
"CP_JO_1116",1116,"JO","C_EGD_1407","JO_381","Commissioner",,"jhm","07_18_01_09:45:13","jhm","07_18_01_09:45:20"
"CP_JO_1117",1117,"JO","C_EGD_617","JO_382","Minister","interviewed_Penman_in_attempts_to_get_him_to_confess_sin_of_adultery","jhm","07_18_01_12:14:15","jhm","07_18_01_12:29:08"
"CP_JO_1118",1118,"JO","C_EGD_617","JO_383","Minister","involved_in_investigations_about_accusations_of_adultery","jhm","07_18_01_12:21:38","jhm","07_18_01_12:29:25"
"CP_JO_1119",1119,"JO","C_EGD_617","JO_384","Minister","involved_in_the_investigations_about_Penman's_adultery","jhm","07_18_01_12:23:53","jhm","07_18_01_12:32:54"
"CP_JO_112",112,"JO","C_JO_2662","JO_100","Investigator",,"jhm","06_13_01_10:46:49","jhm","06_13_01_10:46:53"
"CP_JO_1120",1120,"JO","C_EGD_617","JO_385",,"involved_with_Penman_and_accused_of_committing_adultery_with_him","jhm","07_18_01_14:32:11","jhm","07_18_01_14:34:03"
"CP_JO_1121",1121,"JO","C_EGD_1407","JO_310","Minister",,"jhm","07_18_01_15:29:25","jhm","07_18_01_15:29:40"
"CP_JO_113",113,"JO","C_EGD_1328","JO_101","Witch-pricker",,"jhm","06_13_01_10:56:28","jhm","06_13_01_10:57:55"
"CP_JO_114",114,"JO","C_EGD_1328","JO_102","Investigator",,"jhm","06_13_01_10:57:56","jhm","06_13_01_10:59:03"
"CP_JO_115",115,"JO","C_EGD_1328","JO_103","Investigator",,"jhm","06_13_01_10:59:23","jhm","06_13_01_11:00:20"
"CP_JO_116",116,"JO","C_EGD_1328","JO_104","Investigator",,"jhm","06_13_01_11:49:07","jhm","06_13_01_11:49:36"
"CP_JO_117",117,"JO","C_EGD_1328","JO_105","Investigator",,"jhm","06_13_01_11:49:39","jhm","06_13_01_11:50:08"
"CP_JO_118",118,"JO","C_EGD_1328","JO_106","Investigator",,"jhm","06_13_01_11:50:09","jhm","06_13_01_11:50:57"
"CP_JO_119",119,"JO","C_EGD_1328","JO_107","Investigator",,"jhm","06_13_01_11:51:01","jhm","06_13_01_11:52:24"
"CP_JO_120",120,"JO","C_EGD_1327","JO_100","Investigator",,"jhm","06_13_01_11:55:53","jhm","06_13_01_11:55:57"
"CP_JO_121",121,"JO","C_EGD_1327","JO_102","Investigator",,"jhm","06_13_01_11:56:10","jhm","06_13_01_11:56:24"
"CP_JO_122",122,"JO","C_EGD_1324","JO_112","Investigator",,"jhm","06_13_01_12:26:02","jhm","06_13_01_12:29:31"
"CP_JO_123",123,"JO","C_EGD_1324","JO_1464","Investigator",,"jhm","06_13_01_12:29:33","jhm","11_20_03_11:57:52"
"CP_JO_124",124,"JO","C_EGD_1324","JO_113","Investigator","later_commissioner","jhm","06_13_01_12:30:55","jhm","08_20_02_16:56:39"
"CP_JO_125",125,"JO","C_EGD_1324","JO_114","Investigator",,"jhm","06_13_01_12:46:30","jhm","06_13_01_12:47:10"
"CP_JO_126",126,"JO","C_EGD_1324","JO_103","Investigator",,"jhm","06_13_01_12:47:15","jhm","06_13_01_12:47:21"
"CP_JO_127",127,"JO","C_EGD_1324","JO_115","Investigator",,"jhm","06_13_01_12:47:25","jhm","06_13_01_12:47:56"
"CP_JO_128",128,"JO","C_EGD_1323","JO_108","Investigator",,"jhm","06_13_01_13:08:38","jhm","06_13_01_13:08:41"
"CP_JO_129",129,"JO","C_EGD_1323","JO_109","Investigator",,"jhm","06_13_01_13:08:45","jhm","06_13_01_13:08:53"
"CP_JO_130",130,"JO","C_EGD_1323","JO_110","Investigator",,"jhm","06_13_01_13:08:56","jhm","06_13_01_13:08:58"
"CP_JO_131",131,"JO","C_EGD_1323","JO_111","Investigator",,"jhm","06_13_01_13:09:01","jhm","06_13_01_13:09:16"
"CP_JO_132",132,"JO","C_EGD_2126","JO_96","Prosecutor",,"jhm","06_13_01_13:36:07","jhm","06_13_01_13:36:21"
"CP_JO_1327",1327,"JO","C_JO_2843","JO_436","Witchcraft_acquired_from","mother_of_accused,_taught_her_healing_rituals","jhm","07_23_01_12:16:58","jhm","07_23_01_12:18:36"
"CP_JO_1328",1328,"JO","C_JO_2843","JO_437","Witchcraft_acquired_from","taught_accused_healing_rituals","jhm","07_23_01_12:17:39","jhm","07_23_01_12:18:46"
"CP_JO_1329",1329,"JO","C_EGD_878","JO_438","Minister","ordered_to_attend_assize","jhm","07_23_01_12:55:51","jhm","07_23_01_12:56:39"
"CP_JO_133",133,"JO","C_EGD_2125","JO_96","Prosecutor",,"jhm","06_13_01_13:36:39","jhm","06_13_01_13:38:45"
"CP_JO_1330",1330,"JO","C_EGD_878","JO_439","Minister","ordered_to_attend_assize","jhm","07_23_01_12:56:41","jhm","07_23_01_12:57:20"
"CP_JO_1331",1331,"JO","C_EGD_878","JO_440","Minister","ordered_to_attend_assize","jhm","07_23_01_12:57:22","jhm","07_23_01_13:00:05"
"CP_JO_1332",1332,"JO","C_EGD_879","JO_438","Minister","to_investigate_her_case","jhm","07_23_01_13:07:26","jhm","07_23_01_13:07:42"
"CP_JO_1333",1333,"JO","C_EGD_879","JO_439","Minister","to_investigate_her_case_and_attend_assize","jhm","07_23_01_13:07:44","jhm","07_23_01_13:22:32"
"CP_JO_1334",1334,"JO","C_EGD_879","JO_441","Minister","ordered_to_attend_assize","jhm","07_23_01_13:20:38","jhm","07_23_01_13:21:20"
"CP_JO_1335",1335,"JO","C_EGD_879","JO_442","Minister","ordered_to_attend_her_assize","jhm","07_23_01_13:21:24","jhm","07_23_01_13:22:09"
"CP_JO_1336",1336,"JO","C_JO_2844","LA_246","Minister",,"jhm","07_23_01_13:30:34","jhm","07_23_01_13:30:40"
"CP_JO_1337",1337,"JO","C_JO_2845","LA_246","Minister",,"jhm","07_23_01_13:35:48","jhm","07_23_01_13:35:53"
"CP_JO_1338",1338,"JO","C_EGD_912","JO_439","Minister","to_investigate_case_in_his_parish","jhm","07_23_01_15:45:34","jhm","07_23_01_15:46:20"
"CP_JO_1339",1339,"JO","C_EGD_912","JO_442","Minister","to_investigate_the_case_in_his_parish","jhm","07_23_01_15:45:52","jhm","07_23_01_15:46:08"
"CP_JO_134",134,"JO","C_JO_2667","JO_119","Minister","nominated_by_presbytery_to_'hear'_the_suspects_depositions.","jhm","06_14_01_14:11:00","jhm","06_14_01_14:13:45"
"CP_JO_1340",1340,"JO","C_JO_2846","JO_443","Investigator","appeared_to_have_pursued_the_case_against_Ker_over_several_years","jhm","07_23_01_16:23:12","jhm","07_24_01_10:54:47"
"CP_JO_1341",1341,"JO","C_EGD_2336","JO_444","Minister",,"jhm","07_24_01_12:25:20","jhm","07_24_01_12:27:16"
"CP_JO_1343",1343,"JO","C_EGD_2318","JO_445","Minister",,"jhm","07_24_01_12:44:58","jhm","07_24_01_12:46:22"
"CP_JO_1344",1344,"JO","C_EGD_2340","JO_444","Minister",,"jhm","07_24_01_12:57:26","jhm","07_24_01_12:57:32"
"CP_JO_1345",1345,"JO","C_EGD_2339","JO_444","Minister",,"jhm","07_24_01_13:02:43","jhm","07_24_01_13:02:49"
"CP_JO_1346",1346,"JO","C_EGD_2338","JO_444","Minister",,"jhm","07_24_01_13:07:49","jhm","07_24_01_13:07:54"
"CP_JO_1347",1347,"JO","C_EGD_2337","JO_444","Minister",,"jhm","07_24_01_13:12:11","jhm","07_24_01_13:12:15"
"CP_JO_1348",1348,"JO","C_EGD_2341","JO_444","Minister",,"jhm","07_24_01_13:15:19","jhm","07_24_01_13:15:23"
"CP_JO_1349",1349,"JO","C_EGD_2344","JO_444","Minister",,"jhm","07_24_01_13:20:27","jhm","07_24_01_13:20:32"
"CP_JO_135",135,"JO","C_JO_2668","JO_119","Minister","nominated_to_witness_the_deposition.","jhm","06_14_01_14:22:21","jhm","06_14_01_14:22:42"
"CP_JO_1350",1350,"JO","C_EGD_2347","JO_444","Minister","heard_confession","jhm","07_24_01_14:34:04","jhm","07_26_01_16:00:10"
"CP_JO_1351",1351,"JO","C_EGD_1298","JO_446","Minister",,"jhm","07_24_01_15:05:43","jhm","07_24_01_15:06:06"
"CP_JO_1352",1352,"JO","C_JO_2848","JO_447","Minister",,"jhm","07_24_01_15:20:53","jhm","07_24_01_15:21:22"
"CP_JO_1353",1353,"JO","C_JO_2849","JO_448","Minister",,"jhm","07_24_01_15:24:58","jhm","07_24_01_15:25:40"
"CP_JO_1354",1354,"JO","C_JO_2850","JO_449","Minister",,"jhm","07_24_01_15:29:15","jhm","07_24_01_15:30:04"
"CP_JO_1355",1355,"JO","C_JO_2852","JO_1282","Minister",,"jhm","07_25_01_10:00:19","jhm","12_18_03_16:19:22"
"CP_JO_1356",1356,"JO","C_JO_2852","JO_451","Minister",,"jhm","07_25_01_10:01:28","jhm","07_25_01_10:02:18"
"CP_JO_1357",1357,"JO","C_JO_2852","JO_452","Minister",,"jhm","07_25_01_10:02:20","jhm","07_25_01_10:03:31"
"CP_JO_1358",1358,"JO","C_JO_2852","JO_448","Minister",,"jhm","07_25_01_10:03:34","jhm","07_25_01_10:03:37"
"CP_JO_1359",1359,"JO","C_JO_2852","JO_444","Minister",,"jhm","07_25_01_10:03:40","jhm","07_25_01_10:03:47"
"CP_JO_136",136,"JO","C_JO_2669","JO_119","Minister","nominated_to__re-examine_and_hear_deposition","jhm","06_14_01_14:29:13","jhm","06_14_01_14:29:47"
"CP_JO_1360",1360,"JO","C_JO_2852","JO_329","Minister",,"jhm","07_25_01_10:03:52","jhm","07_25_01_10:03:55"
"CP_JO_1361",1361,"JO","C_JO_2852","JO_453","Minister",,"jhm","07_25_01_10:03:57","jhm","07_25_01_10:04:33"
"CP_JO_1362",1362,"JO","C_JO_2852","JO_446","Minister",,"jhm","07_25_01_10:04:35","jhm","07_25_01_10:04:46"
"CP_JO_1363",1363,"JO","C_JO_2853","JO_453","Minister",,"jhm","07_25_01_10:32:08","jhm","07_25_01_10:32:12"
"CP_JO_1364",1364,"JO","C_EGD_1297","JO_454","Elder",,"jhm","07_26_01_15:09:43","jhm","07_26_01_15:11:55"
"CP_JO_1365",1365,"JO","C_EGD_1297","JO_455","Bailie",,"jhm","07_26_01_15:10:42","jhm","07_26_01_15:11:21"
"CP_JO_1366",1366,"JO","C_EGD_1297","JO_456","Bailie",,"jhm","07_26_01_15:12:01","jhm","07_26_01_15:12:35"
"CP_JO_1367",1367,"JO","C_EGD_1297","JO_444","Minister",,"jhm","07_26_01_15:12:37","jhm","07_26_01_15:12:41"
"CP_JO_1368",1368,"JO","C_EGD_2347","JO_457","Bailie","heard_confession","jhm","07_26_01_15:59:32","jhm","07_26_01_16:00:05"
"CP_JO_1369",1369,"JO","C_EGD_645","JO_458","Commissioner",,"jhm","07_27_01_12:10:33","jhm","07_27_01_12:11:44"
"CP_JO_137",137,"JO","C_JO_2667","JO_108","Minister","witness_to_confession","jhm","06_14_01_15:44:23","jhm","06_14_01_15:44:39"
"CP_JO_1370",1370,"JO","C_EGD_645","JO_459","Commissioner",,"jhm","07_27_01_12:11:48","jhm","08_29_01_13:41:12"
"CP_JO_1371",1371,"JO","C_EGD_660","JO_458","Commissioner",,"jhm","07_27_01_12:28:49","jhm","07_27_01_12:28:55"
"CP_JO_1372",1372,"JO","C_EGD_660","JO_459","Commissioner",,"jhm","07_27_01_12:28:57","jhm","07_27_01_12:29:02"
"CP_JO_1373",1373,"JO","C_EGD_637","JO_458","Commissioner",,"jhm","07_27_01_13:31:11","jhm","07_27_01_13:31:17"
"CP_JO_1374",1374,"JO","C_EGD_637","JO_459","Commissioner",,"jhm","07_27_01_13:31:19","jhm","07_27_01_13:31:23"
"CP_JO_1375",1375,"JO","C_EGD_2277","JO_460","Minister",,"jhm","07_30_01_11:08:32","jhm","07_30_01_11:09:02"
"CP_JO_1376",1376,"JO","C_EGD_2277","JO_461","Minister",,"jhm","07_30_01_11:09:04","jhm","07_30_01_11:09:56"
"CP_JO_1377",1377,"JO","C_EGD_2277","JO_462","Minister",,"jhm","07_30_01_11:10:02","jhm","07_30_01_11:10:37"
"CP_JO_1378",1378,"JO","C_EGD_2277","JO_463","Minister",,"jhm","07_30_01_11:10:40","jhm","07_30_01_11:11:19"
"CP_JO_1379",1379,"JO","C_EGD_2277","JO_464","Minister",,"jhm","07_30_01_11:11:23","jhm","07_30_01_11:12:08"
"CP_JO_138",138,"JO","C_JO_2668","JO_108","Minister","witness_to_2nd_confession","jhm","06_14_01_15:48:48","jhm","06_14_01_15:49:01"
"CP_JO_1380",1380,"JO","C_EGD_2277","JO_1061","Investigator",,"jhm","07_30_01_11:12:11","jhm","12_05_03_10:36:50"
"CP_JO_1381",1381,"JO","C_EGD_2277","JO_466","Investigator","ruling_elder","jhm","07_30_01_11:13:14","jhm","07_30_01_11:58:47"
"CP_JO_1382",1382,"JO","C_EGD_2277","JO_467","Investigator","ruling_elder","jhm","07_30_01_11:13:58","jhm","07_30_01_11:59:03"
"CP_JO_1383",1383,"JO","C_EGD_2277","JO_468","Investigator","ruling_elder","jhm","07_30_01_11:14:25","jhm","07_30_01_11:59:20"
"CP_JO_1384",1384,"JO","C_JO_2857","JO_463","Minister",,"jhm","07_30_01_11:32:09","jhm","07_30_01_11:32:17"
"CP_JO_1385",1385,"JO","C_JO_2857","JO_469","Minister",,"jhm","07_30_01_11:34:09","jhm","07_30_01_11:34:57"
"CP_JO_1386",1386,"JO","C_JO_2857","JO_470","Minister",,"jhm","07_30_01_11:34:59","jhm","07_30_01_11:37:48"
"CP_JO_1387",1387,"JO","C_JO_2857","JO_1061","Investigator",,"jhm","07_30_01_11:44:30","jhm","12_05_03_10:36:50"
"CP_JO_1388",1388,"JO","C_JO_2857","JO_471","Minister",,"jhm","07_30_01_11:47:46","jhm","07_30_01_11:48:33"
"CP_JO_1389",1389,"JO","C_JO_2857","JO_472",,"may_have_been_appointed_by_the_General_Assemble]y","jhm","07_30_01_11:48:39","jhm","07_30_01_11:49:40"
"CP_JO_139",139,"JO","C_JO_2671","JO_1464",,"husband","jhm","06_14_01_15:54:55","jhm","11_20_03_11:57:52"
"CP_JO_1390",1390,"JO","C_JO_2857","JO_473","Investigator",,"jhm","07_30_01_11:49:42","jhm","07_30_01_11:51:02"
"CP_JO_1391",1391,"JO","C_EGD_2277","JO_472","Investigator",,"jhm","07_30_01_11:57:48","jhm","07_30_01_11:57:52"
"CP_JO_1392",1392,"JO","C_EGD_2277","JO_470","Minister",,"jhm","07_30_01_11:57:54","jhm","07_30_01_11:57:58"
"CP_JO_1393",1393,"JO","C_EGD_2277","JO_473","Investigator",,"jhm","07_30_01_11:58:00","jhm","07_30_01_11:58:04"
"CP_JO_1394",1394,"JO","C_EGD_2277","JO_471","Minister",,"jhm","07_30_01_11:58:06","jhm","07_30_01_11:58:10"
"CP_JO_1395",1395,"JO","C_EGD_2277","JO_469","Minister",,"jhm","07_30_01_11:58:12","jhm","07_30_01_11:58:36"
"CP_JO_1396",1396,"JO","C_EGD_1861","JO_463","Minister","to_investigate","jhm","07_31_01_11:58:47","jhm","07_31_01_11:59:20"
"CP_JO_1397",1397,"JO","C_EGD_1861","JO_471","Minister","to_investigate","jhm","07_31_01_11:59:23","jhm","07_31_01_11:59:31"
"CP_JO_1398",1398,"JO","C_EGD_1861","JO_470","Minister","to_investigate","jhm","07_31_01_11:59:39","jhm","07_31_01_11:59:45"
"CP_JO_1400",1400,"JO","C_EGD_1861","JO_475","Minister","to_investigate","jhm","07_31_01_12:05:00","jhm","07_31_01_12:05:56"
"CP_JO_1401",1401,"JO","C_EGD_1861","JO_476","Minister","to_investigate","jhm","07_31_01_12:06:01","jhm","07_31_01_12:06:43"
