DevilRef,DevilSystemId,DevilID,CaseRef,Devil_Type,Devil_Text,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"DVA_LA_367","LA",367,"C_EGD_28","Male_Fairy",,"LEM","07_24_02_12:38:35","LEM","07_24_02_12:38:36"
"DVA_LA_368","LA",368,"C_EGD_28","Ghost","Maggie_Dewand","LEM","07_24_02_12:38:40","LEM","07_24_02_12:39:04"
"DVA_LA_369","LA",369,"C_EGD_107","Male","black_priest_with_black_clothes","LEM","07_26_02_10:27:08","jhm","10_01_02_15:04:08"
"DVA_LA_370","LA",370,"C_EGD_63","Animal_Devil","a_white_stag","LEM","07_26_02_10:53:21","LEM","07_26_02_10:53:36"
"DVA_LA_371","LA",371,"C_EGD_63","Inanimate_Object_Devil","ruck_of_hay","LEM","07_26_02_10:53:39","LEM","07_26_02_10:53:59"
"DVA_LA_372","LA",372,"C_LA_3142","Spirit","an_evil_spirit","LEM","07_26_02_11:55:19","LEM","07_26_02_11:56:08"
"DVA_LA_373","LA",373,"C_EGD_323","Male","in_green_clothes","LEM","07_30_02_10:52:12","jhm","11_04_02_16:54:17"
"DVA_LA_374","LA",374,"C_EGD_345","Animal_Devil","as_a_cow","LEM","07_30_02_11:10:22","LEM","07_30_02_11:10:26"
"DVA_LA_375","LA",375,"C_EGD_345","Male","green_clothes","LEM","07_30_02_11:10:27","jhm","11_05_02_09:03:42"
"DVA_LA_376","LA",376,"C_EGD_324","Male","in_green","LEM","07_30_02_11:57:37","jhm","11_04_02_16:58:27"
"DVA_LA_377","LA",377,"C_EGD_324","Male","in_black","LEM","07_30_02_11:57:44","jhm","11_04_02_16:58:27"
"DVA_LA_378","LA",378,"C_EGD_346","Male","green_clothes","LEM","07_30_02_12:12:34","jhm","11_05_02_09:05:38"
"DVA_LA_379","LA",379,"C_EGD_346","Male","meikle_black_man","LEM","07_30_02_12:13:25","jhm","11_05_02_09:05:56"
"DVA_LA_380","LA",380,"C_EGD_350","Male","green_clothes","LEM","07_30_02_13:30:44","LEM","10_10_02_14:36:00"
"DVA_LA_381","LA",381,"C_EGD_347","Male",,"LEM","07_30_02_13:43:53","jhm","11_05_02_09:10:38"
"DVA_LA_382","LA",382,"C_EGD_347","Male","a_gentleman","LEM","07_30_02_13:44:40","jhm","11_05_02_09:10:36"
"DVA_LA_383","LA",383,"C_EGD_347","Animal_Devil","black_dog","LEM","07_30_02_13:45:58","LEM","07_30_02_13:46:17"
"DVA_LA_384","LA",384,"C_EGD_344","Male","great_black_man","LEM","08_01_02_09:37:33","jhm","10_11_02_11:32:51"
"DVA_LA_385","LA",385,"C_EGD_344","Animal_Devil","rat","LEM","08_01_02_09:37:38","LEM","08_01_02_09:37:42"
"DVA_LA_386","LA",386,"C_EGD_349","Male","in_black_clothes","LEM","08_01_02_09:47:41","jhm","11_05_02_09:21:53"
"DVA_LA_387","LA",387,"C_EGD_343","Male","meikle_black_man","LEM","08_01_02_09:55:18","LEM","10_10_02_14:38:45"
"DVA_LA_388","LA",388,"C_EGD_1474","Male","mekle,_roch,_blackman_with_cloven_feet.","LEM","08_20_02_15:00:38","jhm","10_08_02_10:56:40"
"DVA_LA_389","LA",389,"C_EGD_1558","Male","with_cloven_feet","LEM","08_22_02_10:40:11","jhm","10_08_02_15:52:58"
"DVA_LA_390","LA",390,"C_EGD_1558","Male","meikle_black_roch_man","LEM","08_22_02_10:42:28","jhm","10_08_02_15:52:54"
"DVA_LA_391","LA",391,"C_EGD_1558","Animal_Devil","deer","LEM","08_22_02_10:43:50","jhm","10_08_02_15:52:51"
"DVA_LA_392","LA",392,"C_EGD_1558","Female_Fairy","Queen_dressed_in_white_and_brown","LEM","08_22_02_10:57:21","LEM","08_22_02_10:57:38"
"DVA_LA_393","LA",393,"C_EGD_1558","Male_Fairy","King,_a_braw,_well_favored_man_with_a_broad_face.","LEM","08_22_02_10:57:39","LEM","08_22_02_10:58:10"
"DVA_LA_394","LA",394,"C_EGD_1558","Spirit","to_wait_upon_each_witch","LEM","08_22_02_11:14:51","jhm","10_18_02_12:19:48"
"DVA_LA_395","LA",395,"C_LA_3277","Male","black_man","LEM","08_28_02_20:56:20","LEM","11_11_02_11:29:07"
"DVA_LA_396","LA",396,"C_LA_3277","Inanimate_Object_Devil","wind","LEM","08_28_02_20:56:28","LEM","08_28_02_20:56:45"
"DVA_LA_4","LA",4,"C_EGD_166","Animal_Devil","Foal","LEM","05_18_01_15:15:50","LEM","05_18_01_15:16:24"
"DVA_LA_408","LA",408,"C_EGD_604","Male","well-favoured_young_man","LEM","11_07_02_12:57:42","LEM","11_07_02_12:57:56"
"DVA_LA_43","LA",43,"C_LA_2770","Male",,"LEM","06_28_01_14:42:38","LEM","11_11_02_11:29:32"
"DVA_LA_45","LA",45,"C_EGD_378","Male",,"LEM","06_28_01_14:47:21","jhm","11_05_02_14:57:40"
"DVA_LA_5","LA",5,"C_EGD_166","Male","Man","LEM","05_18_01_15:15:54","jhm","10_21_02_14:59:01"
"DVA_LA_52","LA",52,"C_EGD_380","Male","in_green_clothes","LEM","06_29_01_11:05:08","jhm","11_05_02_15:05:48"
