MentionRef,MentionSystemId,MentionID,Trialref,Mentiondate,Mentiondate_as_date,Mentiontype,TrialOfAccusedRef,TrialOfFirstName,TrialOfLastName,MentionedInTrialOfRef,dateOfMentionedTrial,dateOfMentionedTrial_as_date,FateOfMentionedWitch,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"MW_JO_1","JO",1,"T_JO_4","23_2_1597","02_23_97_00:00:00","Accomplice","A_EGD_2068","Thomas","Leyis","T_JO_3","17_2_1597","02_17_97_00:00:00","Burnt",,"jhm","05_17_01_16:31:34","LEM","09_09_02_15:07:04"
"MW_JO_1000","JO",1000,"T_LA_1703","21_8_1629","08_21_29_00:00:00","Denounced","A_EGD_1114","Beigs","Wallace","T_LA_158",,,,,"jhm","10_02_02_11:30:34","jhm","10_02_02_11:32:43"
"MW_JO_1001","JO",1001,"T_LA_153","16_7_1629","07_16_29_00:00:00","Denounced","A_EGD_663","Margaret","Loche","T_LA_645",,,,,"jhm","10_02_02_11:55:11","jhm","10_02_02_11:56:08"
"MW_JO_1002","JO",1002,"T_LA_152","16_7_1629","07_16_29_00:00:00","Denounced","A_EGD_663","Margaret","Loche","T_LA_645",,,,,"jhm","10_02_02_11:56:14","jhm","10_02_02_11:56:30"
"MW_JO_1003","JO",1003,"T_LA_151","16_7_1629","07_16_29_00:00:00","Denounced","A_EGD_663","Margaret","Loche","T_LA_645",,,,,"jhm","10_02_02_14:38:43","jhm","10_02_02_14:39:02"
"MW_JO_1004","JO",1004,"T_JO_2186","9_2_1630","02_09_30_00:00:00","Denounced","A_EGD_1175","Mawsie","Aslownae","T_LA_767",,,,,"jhm","10_02_02_15:43:36","jhm","10_02_02_15:44:44"
"MW_JO_1005","JO",1005,"T_JO_2187","9_2_1630","02_09_30_00:00:00","Denounced","A_EGD_1175","Mawsie","Aslownae","T_LA_767",,,,,"jhm","10_02_02_15:45:48","jhm","10_02_02_15:46:23"
"MW_JO_1006","JO",1006,"T_JO_2188","7_6_1649","06_07_49_00:00:00","Denounced","A_EGD_1300","Agnes","Clarkson","T_LA_1056",,,,,"jhm","10_03_02_14:50:03","jhm","10_03_02_14:50:36"
"MW_JO_1007","JO",1007,"T_LA_974","27_5_1608","05_27_08_00:00:00","Denounced","A_EGD_136","Beigis","Tod","T_LA_51",,,,,"jhm","10_08_02_12:50:31","jhm","10_08_02_12:51:33"
"MW_JO_1008","JO",1008,"T_JO_2191",,,"Denounced","A_JO_2908","Marjorie","Paplay","T_JO_1410",,,,,"jhm","10_10_02_10:37:11","jhm","10_10_02_10:38:02"
"MW_JO_1009","JO",1009,"T_JO_2192",,,"Denounced","A_JO_2909","Barbara","Bowndie","T_JO_1411",,,,,"jhm","10_10_02_10:38:48","jhm","10_10_02_10:40:15"
"MW_JO_1010","JO",1010,"T_LA_317","20_8_1661","08_20_61_00:00:00","Denounced","A_EGD_1583","Sarah","Ramage","T_JO_1654",,,,,"jhm","10_10_02_11:24:31","jhm","10_10_02_11:25:35"
"MW_JO_1011","JO",1011,"T_LA_13",,,"Denounced","A_EGD_148","Margaret","Melrois","T_LA_5",,,,"Melrois_named_Young_in_her_deposition.","jhm","10_18_02_15:06:01","jhm","10_18_02_15:06:30"
"MW_JO_1012","JO",1012,"T_LA_20","18_7_1629","07_18_29_00:00:00","Denounced","A_EGD_154","Elizabeth","Steven","T_LA_1272",,,,,"jhm","10_18_02_16:19:48","jhm","10_18_02_16:22:03"
"MW_JO_1013","JO",1013,"T_JO_2202","22_1_1630","01_22_30_00:00:00","Denounced","A_EGD_155","Alexander","Hammiltoun","T_LA_15",,,,,"jhm","10_21_02_15:32:07","jhm","10_21_02_15:33:02"
"MW_JO_1014","JO",1014,"T_JO_2203","18_12_1644","12_18_44_00:00:00","Witchcraft_Precedent","A_EGD_172","Agnes","Finnie","T_LA_40",,,,"Drummond_was_named_as_an_example_in_Finnie's_trial.","jhm","10_22_02_13:39:13","jhm","10_22_02_13:40:21"
"MW_JO_1015","JO",1015,"T_LA_13","18_12_1644","12_18_44_00:00:00","Witchcraft_Precedent","A_EGD_172","Agnes","Finnie","T_LA_40",,,,"Young_was_named_as_an_example_in_Finnie's_trial.","jhm","10_22_02_13:41:47","jhm","10_22_02_13:42:17"
"MW_JO_1016","JO",1016,"T_JO_2204","18_12_1644","12_18_44_00:00:00","Witchcraft_Precedent","A_EGD_172","Agnes","Finnie","T_LA_40",,,,"Wallace_was_named_as_an_example_in_Finnie's_trial.","jhm","10_22_02_13:45:05","jhm","10_22_02_13:45:37"
"MW_JO_1017","JO",1017,"T_JO_578","21_11_1649","11_21_49_00:00:00","Accomplice","A_EGD_1830","Thomas","Shanks","T_JO_582",,,,,"jhm","10_22_02_14:46:35","jhm","10_22_02_14:47:00"
"MW_JO_1018","JO",1018,"T_JO_2205","8_1661","08_01_61_00:00:00","Denounced","A_EGD_1835","Margaret","Cant","T_JO_1177",,,,,"jhm","10_22_02_15:13:08","jhm","10_22_02_15:13:24"
"MW_JO_1019","JO",1019,"T_JO_2205",,,"Denounced","A_JO_2823","Katherine","Robertsone","T_JO_1179",,,,,"jhm","10_22_02_15:14:02","jhm","10_22_02_15:15:44"
"MW_JO_1020","JO",1020,"T_JO_2205",,,"Denounced","A_EGD_1837","Jonet","Bell","T_JO_1443",,,,,"jhm","10_22_02_15:15:57","jhm","10_22_02_15:16:15"
"MW_JO_1021","JO",1021,"T_JO_4","19_2_1597","02_19_97_00:00:00","Accomplice","A_EGD_2066","Isobel","Cockie","T_JO_1293",,,,,"jhm","10_24_02_09:34:54","jhm","10_24_02_09:35:19"
"MW_JO_1022","JO",1022,"T_JO_2206","9_3_1597","03_09_97_00:00:00","Denounced","A_EGD_2069","Bessie","Thom","T_JO_1323",,,,,"jhm","10_24_02_10:14:53","jhm","10_24_02_10:15:25"
"MW_JO_1023","JO",1023,"T_JO_1320","23_2_1597","02_23_97_00:00:00","Denounced","A_EGD_2068","Thomas","Leyis","T_JO_3",,,,"Manteith_was_mentioned_in_Leyis'_trial.","jhm","10_24_02_10:36:42","jhm","10_24_02_10:37:47"
"MW_JO_1024","JO",1024,"T_JO_2206","23_2_1597","02_23_97_00:00:00","Accomplice","A_EGD_2068","Thomas","Leyis","T_JO_3",,,,,"jhm","10_24_02_10:50:51","jhm","10_24_02_10:51:22"
"MW_JO_1025","JO",1025,"T_JO_2207","25_3_1597","03_25_97_00:00:00","Denounced","A_JO_2894","Margerat","Bane_(Clerk)","T_JO_1317",,,,,"jhm","10_24_02_11:47:11","jhm","10_24_02_11:47:32"
"MW_JO_1026","JO",1026,"T_JO_2208","24_4_1597","04_24_97_00:00:00","Denounced","A_EGD_2101","Margrat","Og","T_JO_1312",,,,,"jhm","10_24_02_11:50:31","jhm","10_24_02_11:51:20"
"MW_JO_1027","JO",1027,"T_JO_2209","20_1_1598","01_20_98_00:00:00","Denounced","A_EGD_2117","Andro","Man","T_JO_1298",,,,,"jhm","10_24_02_13:06:18","jhm","10_24_02_13:06:43"
"MW_JO_1028","JO",1028,"T_JO_2210",,,"Denounced","A_EGD_2293","Grissal","Thomsone","T_JO_1677",,,,,"jhm","10_25_02_18:04:18","jhm","10_25_02_18:04:33"
"MW_JO_1029","JO",1029,"T_JO_2211",,,"Denounced","A_EGD_2293","Grissal","Thomsone","T_JO_1677",,,,,"jhm","10_25_02_18:09:40","jhm","10_25_02_18:09:54"
"MW_JO_1030","JO",1030,"T_JO_2212",,,"Denounced","A_EGD_2292","Jonet","Mitchells","T_JO_1678",,,,"Thomsone_was_named_in_Mitchells's_trial_as_having_named_her.","jhm","10_25_02_18:11:05","jhm","10_25_02_18:11:40"
"MW_JO_1031","JO",1031,"T_JO_2215",,,"Denounced","A_EGD_2296","Helen","Young","T_JO_1172",,,,"Young_named_Sith.","jhm","10_29_02_09:00:24","jhm","10_29_02_09:00:49"
"MW_JO_1032","JO",1032,"T_JO_2216",,,"Denounced","A_EGD_2296","Helen","Young","T_JO_1172",,,,,"jhm","10_29_02_09:03:50","jhm","10_29_02_09:04:00"
"MW_JO_1033","JO",1033,"T_JO_1702",,,"Denounced","A_EGD_2371","Janet","Cornfoot","T_JO_1696",,,,,"jhm","10_29_02_12:14:21","jhm","10_29_02_12:14:47"
"MW_JO_1034","JO",1034,"T_JO_2217",,,"Denounced","A_EGD_2371","Janet","Cornfoot","T_JO_1696",,,,,"jhm","10_29_02_12:14:56","jhm","10_29_02_12:15:09"
"MW_JO_1035","JO",1035,"T_JO_2217",,,"Denounced","A_EGD_819","Nicolas","Lauson","T_JO_1697",,,,,"jhm","10_29_02_12:17:49","jhm","10_29_02_12:18:08"
"MW_JO_1036","JO",1036,"T_JO_1701",,,"Accomplice","A_EGD_819","Nicolas","Lauson","T_JO_1697",,,,,"jhm","10_29_02_12:19:30","jhm","10_29_02_12:19:43"
"MW_JO_1037","JO",1037,"T_JO_2218",,,"Denounced","A_EGD_2430","Jonet","Small","T_JO_1689",,,,,"jhm","10_30_02_11:28:41","jhm","10_30_02_11:30:09"
"MW_JO_1038","JO",1038,"T_JO_2219",,,"Denounced","A_EGD_2430","Jonet","Small","T_JO_1689",,,,,"jhm","10_30_02_11:31:35","jhm","10_30_02_11:31:46"
"MW_JO_1039","JO",1039,"T_JO_2220",,,"Denounced","A_EGD_2430","Jonet","Small","T_JO_1689",,,,,"jhm","10_30_02_11:33:14","jhm","10_30_02_11:33:24"
"MW_JO_1040","JO",1040,"T_JO_1693",,,"Denounced","A_EGD_2430","Jonet","Small","T_JO_1689",,,,,"jhm","10_30_02_11:34:52","jhm","10_30_02_11:35:03"
"MW_JO_1041","JO",1041,"T_JO_2221",,,"Denounced","A_EGD_2371","Janet","Cornfoot","T_JO_1696",,,,,"jhm","10_30_02_12:54:53","jhm","10_30_02_12:55:09"
"MW_JO_1042","JO",1042,"T_JO_1478",,,"Denounced","A_EGD_280","Kathrine","Remy","T_LA_1294",,,,,"jhm","10_31_02_12:28:02","jhm","10_31_02_12:28:20"
"MW_JO_1043","JO",1043,"T_JO_1474",,,"Denounced","A_EGD_281","Bessie","Paton","T_LA_1295",,,,,"jhm","10_31_02_12:35:04","jhm","10_31_02_12:36:26"
"MW_JO_1053","JO",1053,"T_LA_294","3_8_1661","08_03_61_00:00:00","Accomplice","A_EGD_353","Bessie","Moffat","T_LA_411",,,,,"jhm","11_05_02_14:00:20","jhm","11_05_02_14:00:32"
"MW_JO_1054","JO",1054,"T_JO_2228","3_8_1661","08_03_61_00:00:00","Accomplice","A_EGD_354","Jonet","Watsone","T_LA_410",,,,,"jhm","11_05_02_14:31:35","jhm","11_05_02_14:32:00"
"MW_JO_1055","JO",1055,"T_LA_285","29_7_1661","07_29_61_00:00:00","Accomplice","A_EGD_362","Janet","Lyle","T_LA_265",,,,,"jhm","11_05_02_14:32:59","jhm","11_05_02_14:33:29"
"MW_JO_1056","JO",1056,"T_LA_280","29_7_1661","07_29_61_00:00:00","Accomplice","A_EGD_362","Janet","Lyle","T_LA_265",,,,,"jhm","11_05_02_14:38:44","jhm","11_05_02_14:39:05"
"MW_JO_1057","JO",1057,"T_JO_2229",,,"Accomplice","A_EGD_366","Janet","Paistoun","T_LA_414",,,,,"jhm","11_05_02_14:53:47","jhm","11_05_02_14:54:17"
"MW_JO_1058","JO",1058,"T_JO_2230","3_8_1661","08_03_61_00:00:00","Denounced","A_EGD_370","Issobell","Fergussone","T_LA_298",,,,,"jhm","11_05_02_15:52:06","jhm","11_07_02_16:30:19"
"MW_JO_1059","JO",1059,"T_JO_2231","28_10_1589","10_28_89_00:00:00","Accomplice","A_EGD_28","Katherene","Ross","T_LA_90",,,,,"jhm","11_06_02_12:18:50","jhm","11_06_02_12:19:13"
"MW_JO_1060","JO",1060,"T_JO_2232","28_10_1589","10_28_89_00:00:00","Accomplice","A_EGD_28","Katherene","Ross","T_LA_90",,,,,"jhm","11_06_02_12:19:23","jhm","11_06_02_12:19:42"
"MW_JO_1061","JO",1061,"T_JO_2233","28_10_1589","10_28_89_00:00:00","Accomplice","A_EGD_28","Katherene","Ross","T_LA_90",,,,,"jhm","11_06_02_12:19:52","jhm","11_06_02_12:20:09"
"MW_JO_1062","JO",1062,"T_JO_2234","28_10_1589","10_28_89_00:00:00","Accomplice","A_EGD_28","Katherene","Ross","T_LA_90",,,,,"jhm","11_06_02_12:20:17","jhm","11_06_02_12:20:36"
"MW_JO_1063","JO",1063,"T_LA_313","20_8_1661","08_20_61_00:00:00","Accomplice","A_EGD_390","Margaret","Hutchison","T_LA_320",,,,,"jhm","11_06_02_13:53:31","jhm","11_06_02_13:53:49"
"MW_JO_1064","JO",1064,"T_LA_315","20_8_1661","08_20_61_00:00:00","Accomplice","A_EGD_390","Margaret","Hutchison","T_LA_320",,,,,"jhm","11_06_02_13:53:56","jhm","11_06_02_13:54:36"
"MW_JO_1065","JO",1065,"T_LA_317","20_8_1661","08_20_61_00:00:00","Accomplice","A_EGD_390","Margaret","Hutchison","T_LA_320",,,,,"jhm","11_06_02_13:54:45","jhm","11_06_02_13:55:06"
"MW_JO_1066","JO",1066,"T_LA_314","20_8_1661","08_20_61_00:00:00","Accomplice","A_EGD_390","Margaret","Hutchison","T_LA_320",,,,,"jhm","11_06_02_13:55:15","jhm","11_06_02_13:55:36"
"MW_JO_1067","JO",1067,"T_LA_316","20_8_1661","08_20_61_00:00:00","Accomplice","A_EGD_390","Margaret","Hutchison","T_LA_320",,,,,"jhm","11_06_02_13:55:43","jhm","11_06_02_13:56:11"
"MW_JO_1068","JO",1068,"T_JO_398","20_8_1661","08_20_61_00:00:00","Accomplice","A_EGD_390","Margaret","Hutchison","T_LA_320",,,,,"jhm","11_06_02_13:56:16","jhm","11_06_02_13:56:30"
"MW_JO_1069","JO",1069,"T_JO_2235","20_8_1661","08_20_61_00:00:00","Accomplice","A_EGD_391","Isobel","Ramsay","T_LA_319",,,,,"jhm","11_06_02_15:08:01","jhm","11_06_02_15:08:14"
"MW_JO_1070","JO",1070,"T_LA_317","20_8_1661","08_20_61_00:00:00","Accomplice","A_EGD_391","Isobel","Ramsay","T_LA_319",,,,,"jhm","11_06_02_15:09:31","jhm","11_06_02_15:09:56"
"MW_JO_1071","JO",1071,"T_JO_2236",,,"Accomplice","A_EGD_404","Jonet","Ewart","T_LA_395",,,,,"jhm","11_06_02_15:52:04","jhm","11_06_02_15:52:17"
"MW_JO_1072","JO",1072,"T_JO_2164",,,"Denounced","A_EGD_514","Elspeth","Tailyeor","T_JO_1713",,,,,"jhm","11_07_02_15:07:46","jhm","11_07_02_15:08:13"
"MW_JO_1073","JO",1073,"T_LA_1687","20_8_1661","08_20_61_00:00:00","Accomplice","A_EGD_391","Isobel","Ramsay","T_LA_319",,,,,"jhm","11_07_02_16:13:00","jhm","11_07_02_16:13:27"
"MW_JO_116","JO",116,"T_JO_396","1661","06_01_61_00:00:00","Known_Witch","A_LA_2679","Margaret","Hart","T_JO_393",,,,"Ramage_named_Margaret_Hart","jhm","07_10_01_12:09:32","LEM","09_09_02_14:59:19"
"MW_JO_118","JO",118,"T_JO_398","20_8_1661","08_20_61_00:00:00","Accomplice","A_EGD_387","Jonet","Ker","T_LA_312",,,,,"jhm","07_10_01_12:25:27","jhm","07_10_01_12:26:01"
"MW_JO_119","JO",119,"T_JO_399","20_8_1661","08_20_61_00:00:00","Accomplice","A_EGD_387","Jonet","Ker","T_LA_312",,,,,"jhm","07_10_01_12:27:12","jhm","07_10_01_12:28:41"
"MW_JO_120","JO",120,"T_JO_398","28_7_1661","07_28_61_00:00:00","Accomplice","A_EGD_384","Marjorie","Fairwell","T_JO_400",,,,,"jhm","07_10_01_12:29:02","LEM","09_09_02_15:15:30"
"MW_JO_121","JO",121,"T_LA_313","20_8_1661","08_20_61_00:00:00","Accomplice","A_EGD_391","Isobel","Ramsay","T_LA_319",,,,,"jhm","07_10_01_12:30:02","LEM","09_09_02_15:12:11"
"MW_JO_122","JO",122,"T_JO_399","28_7_1661","07_28_61_00:00:00","Accomplice","A_EGD_384","Marjorie","Fairwell","T_JO_400",,,,,"jhm","07_10_01_12:50:23","LEM","09_09_02_15:15:13"
"MW_JO_123","JO",123,"T_LA_314","20_8_1661","08_20_61_00:00:00","Accomplice","A_EGD_391","Isobel","Ramsay","T_LA_319",,,,"mention_in_Ramsay's_confession._Identified_Ramsay_as_the_cause_of_William_Porteous's_child.","jhm","07_10_01_13:04:29","LEM","09_09_02_15:12:26"
"MW_JO_124","JO",124,"T_LA_314","28_7_1661","07_28_61_00:00:00","Accomplice","A_EGD_384","Marjorie","Fairwell","T_JO_400",,,,,"jhm","07_10_01_13:05:55","LEM","09_09_02_15:14:52"
"MW_JO_125","JO",125,"T_LA_315","28_71661",,,"A_EGD_384","Marjorie","Fairwell","T_JO_400",,,,,"jhm","07_10_01_13:20:42","LEM","09_09_02_15:35:37"
"MW_JO_137","JO",137,"T_JO_409","20_8_1661","08_20_61_00:00:00","Known_Witch","A_EGD_389","Jonet","Miller","T_LA_261",,,,"named_Jonet_Miller_as_witch","jhm","07_16_01_09:45:09","jhm","07_16_01_09:54:47"
"MW_JO_138","JO",138,"T_JO_410","20_8_1661","08_20_61_00:00:00","Known_Witch","A_EGD_389","Jonet","Miller","T_LA_261",,,,"named_Jonet_Miller_as_witch","jhm","07_16_01_09:50:08","jhm","07_16_01_09:52:25"
"MW_JO_139","JO",139,"T_JO_411","20_8_1661","08_20_61_00:00:00","Known_Witch","A_EGD_389","Jonet","Miller","T_LA_261",,,,"recorded_as_having_named_Janet_Miller_as_witch_but_it_is_unclear_if_he_was_still_alive_in_1661.","jhm","07_16_01_09:57:35","jhm","10_24_02_10:27:29"
"MW_JO_140","JO",140,"T_JO_412","20_8_1661","08_20_61_00:00:00","Known_Witch","A_EGD_389","Jonet","Miller","T_LA_261",,,,"named_as_having_identified_Janet_Miller_as_witch","jhm","07_16_01_10:03:40","jhm","07_16_01_10:04:34"
"MW_JO_142","JO",142,"T_JO_414","20_8_1661","08_20_61_00:00:00","Known_Witch","A_EGD_389","Jonet","Miller","T_LA_261",,,,"also_recorded_as_having_named_Janet_Miller_as_witch","jhm","07_16_01_10:07:27","jhm","11_06_02_13:07:11"
"MW_JO_143","JO",143,"T_JO_415","20_8_1661","08_20_61_00:00:00","Known_Witch","A_EGD_389","Jonet","Miller","T_LA_261",,,,"recorded_as_having_named_Janet_Miller_as_witch","jhm","07_16_01_10:40:23","jhm","07_16_01_10:41:20"
"MW_JO_144","JO",144,"T_JO_423","7_8_1661","08_07_61_00:00:00","Known_Witch","A_EGD_397","Margaret","Porteous","T_LA_322",,,,,"jhm","07_16_01_15:59:26","jhm","07_17_01_09:49:40"
"MW_JO_145","JO",145,"T_JO_424","7_8_1661","08_07_61_00:00:00","Known_Witch","A_EGD_397","Margaret","Porteous","T_LA_322",,,,,"jhm","07_16_01_16:06:52","jhm","07_17_01_09:48:16"
"MW_JO_146","JO",146,"T_JO_425","7_8_1661","08_07_61_00:00:00","Known_Witch","A_EGD_397","Margaret","Porteous","T_LA_322",,,,,"jhm","07_16_01_16:15:07","jhm","07_17_01_09:48:37"
"MW_JO_147","JO",147,"T_JO_426","7_8_1661","08_07_61_00:00:00","Known_Witch","A_EGD_397","Margaret","Porteous","T_LA_322",,,,,"jhm","07_16_01_16:17:29","jhm","07_17_01_09:47:04"
"MW_JO_148","JO",148,"T_JO_427","7_8_1661","08_07_61_00:00:00","Known_Witch","A_EGD_397","Margaret","Porteous","T_LA_322",,,,,"jhm","07_16_01_16:25:25","jhm","07_17_01_09:49:22"
"MW_JO_149","JO",149,"T_LA_385","7_8_1661","08_07_61_00:00:00","Known_Witch","A_EGD_397","Margaret","Porteous","T_LA_322",,,,,"jhm","07_17_01_09:42:27","jhm","07_17_01_09:43:14"
"MW_JO_150","JO",150,"T_JO_431","7_8_1661","08_07_61_00:00:00","Known_Witch","A_EGD_397","Margaret","Porteous","T_LA_322",,,,"mentioned_in_Portoeous's_confession_that_she_had_been_burnt","jhm","07_17_01_10:00:15","jhm","07_17_01_10:23:11"
"MW_JO_151","JO",151,"T_JO_512",,,,"A_JO_2732","Marion","Anderson","T_JO_511",,,,"Burne_was_named_at_the_same_time_as_Anderson_but_did_not_appear_for_questioning_by_the_presbytery._Fate_unknown","jhm","07_23_01_13:38:12","LEM","11_01_02_14:32:07"
"MW_JO_152","JO",152,"T_JO_525","20_8_1644","08_20_44_00:00:00","Known_Witch","A_EGD_1286","Christiane","Melvill","T_JO_524",,,"Burnt",,"jhm","07_24_01_15:10:24","jhm","07_24_01_15:11:46"
"MW_JO_153","JO",153,"T_JO_526","20_8_1644","08_20_44_00:00:00","Known_Witch","A_EGD_1286","Christiane","Melvill","T_JO_524",,,"Burnt",,"jhm","07_24_01_15:11:56","jhm","07_24_01_15:12:23"
"MW_JO_154","JO",154,"T_JO_540",,,"Denounced","A_EGD_1286","Christiane","Melvill","T_JO_524",,,,,"jhm","07_26_01_15:36:41","jhm","07_26_01_15:37:39"
"MW_JO_155","JO",155,"T_JO_541",,,"Known_Witch","A_EGD_1285","Margaret","Young","T_JO_539",,,,"Cant_denounced_Young_but_was_mentioned_in_Young's_trial.","jhm","07_26_01_15:44:41","jhm","10_25_02_17:30:19"
"MW_JO_156","JO",156,"T_JO_543","20_8_1644","08_20_44_00:00:00","Known_Witch","A_EGD_1285","Margaret","Young","T_JO_539",,,,"Logie_named_Margaret_Young_and_her_sister_as__witches","jhm","07_26_01_15:54:15","LEM","09_09_02_15:10:03"
"MW_JO_157","JO",157,"T_JO_544","20_8_1644","08_20_44_00:00:00","Known_Witch","A_EGD_1285","Margaret","Young","T_JO_539",,,,"Little_named_Margaret_and_her_sister_Isobel_as_witches.","jhm","07_26_01_15:57:14","LEM","09_09_02_15:10:25"
"MW_JO_158","JO",158,"T_JO_576","20_10_1649","10_20_49_00:00:00","Denounced","A_EGD_1791","Jonet","Coutts","T_JO_575",,,,,"jhm","07_31_01_14:40:11","jhm","07_31_01_15:11:10"
"MW_JO_159","JO",159,"T_JO_578","20_10_1649","10_20_49_00:00:00","Denounced","A_EGD_1791","Jonet","Coutts","T_JO_575",,,,,"jhm","07_31_01_15:03:09","jhm","07_31_01_15:04:14"
"MW_JO_160","JO",160,"T_JO_581","20_10_1649","10_20_49_00:00:00","Denounced","A_EGD_1962","Marion","Watsone","T_JO_579",,,,,"jhm","07_31_01_15:21:11","LEM","09_09_02_15:05:52"
"MW_JO_161","JO",161,"T_JO_581","20_10_1649","10_20_49_00:00:00","Accomplice","A_EGD_1830","Thomas","Shanks","T_JO_582",,,,,"jhm","07_31_01_15:32:19","jhm","07_31_01_15:33:15"
"MW_JO_162","JO",162,"T_JO_583","20_10_1649","10_20_49_00:00:00","Denounced","A_EGD_1791","Jonet","Coutts","T_JO_575",,,,,"jhm","07_31_01_15:43:27","jhm","07_31_01_15:43:58"
"MW_JO_163","JO",163,"T_JO_585","21_11_1649","11_21_49_00:00:00","Denounced","A_EGD_1831","Marioun","Robiesone","T_JO_584",,,,,"jhm","07_31_01_15:57:50","LEM","09_09_02_15:04:19"
"MW_JO_164","JO",164,"T_JO_586","21_11_1649","11_21_49_00:00:00","Denounced","A_EGD_1831","Marioun","Robiesone","T_JO_584",,,,,"jhm","07_31_01_16:07:25","LEM","09_09_02_15:04:08"
"MW_JO_165","JO",165,"T_JO_587","21_11_1649","11_21_49_00:00:00","Denounced","A_EGD_1831","Marioun","Robiesone","T_JO_584",,,,,"jhm","07_31_01_16:10:32","LEM","09_09_02_15:03:27"
"MW_JO_166","JO",166,"T_JO_588","21_11_1649","11_21_49_00:00:00","Denounced","A_EGD_1831","Marioun","Robiesone","T_JO_584",,,,,"jhm","07_31_01_16:15:01","LEM","09_09_02_15:10:38"
"MW_JO_167","JO",167,"T_JO_589","21_11_1649","11_21_49_00:00:00","Accomplice","A_EGD_1831","Marioun","Robiesone","T_JO_584",,,,,"jhm","07_31_01_16:22:00","LEM","09_09_02_15:30:39"
"MW_JO_168","JO",168,"T_JO_596","30_5_1688","05_30_88_00:00:00","Known_Witch","A_EGD_1753","Catharin","Mactargett","T_JO_595",,,,"mentioned_as_Highland_woman_who_taught_Mactargett_witchcraft_20_years_before_her_trial_(?1668)","jhm","08_16_01_11:08:31","jhm","08_16_01_11:10:29"
"MW_JO_169","JO",169,"T_JO_615","30_5_1688","05_30_88_00:00:00","Known_Witch","A_EGD_1753","Catharin","Mactargett","T_JO_595",,,,"mentioned_as_having_taught_Catharin_witchcraft","jhm","08_16_01_21:16:38","jhm","08_16_01_21:17:26"
"MW_JO_170","JO",170,"T_JO_525",,,"Known_Witch","A_EGD_2281","Marioun","Little","T_JO_523",,,,,"jhm","09_14_01_15:05:54","LEM","09_09_02_15:09:34"
"MW_JO_171","JO",171,"T_JO_540",,,"Denounced","A_EGD_2281","Marioun","Little","T_JO_544",,,,,"jhm","09_14_01_15:08:33","LEM","09_09_02_14:43:05"
"MW_JO_193","JO",193,"T_JO_883","6_24_1596","06_24_96_00:00:00","Accomplice","A_EGD_115","John","Stewart","T_JO_882",,,"Burnt",,"jhm","10_03_01_13:22:46","jhm","10_03_01_13:23:09"
"MW_JO_225","JO",225,"T_LA_408","2_6_1661","06_02_61_00:00:00","Accomplice","A_EGD_1361","Anna","Kemp","T_JO_1028",,,,,"jhm","10_19_01_13:12:17","LEM","09_09_02_14:57:08"
"MW_JO_226","JO",226,"T_JO_1029","2_6_1661","06_02_61_00:00:00","Accomplice","A_JO_2786","Issobell","Smyth","T_JO_1033",,,,,"jhm","10_19_01_13:17:47","LEM","09_09_02_14:54:53"
"MW_JO_227","JO",227,"T_LA_404","2_6_1661","06_02_61_00:00:00","Accomplice","A_JO_2786","Issobell","Smyth","T_JO_1033",,,,,"jhm","10_19_01_13:21:22","LEM","09_09_02_14:55:49"
"MW_JO_228","JO",228,"T_JO_1030","2_6_1661","06_02_61_00:00:00","Accomplice","A_JO_2786","Issobell","Smyth","T_JO_1033",,,,,"jhm","10_19_01_13:22:52","LEM","09_09_02_14:53:59"
"MW_JO_229","JO",229,"T_JO_1031","2_6_1661","06_02_61_00:00:00","Accomplice","A_JO_2786","Issobell","Smyth","T_JO_1033",,,,,"jhm","10_19_01_13:24:05","LEM","09_09_02_14:50:57"
"MW_JO_230","JO",230,"T_JO_1032","2_6_1661","06_02_61_00:00:00","Accomplice","A_JO_2786","Issobell","Smyth","T_JO_1033",,,,,"jhm","10_19_01_13:25:06","LEM","09_09_02_14:50:26"
"MW_JO_231","JO",231,"T_JO_1030","31_5_1661","05_31_61_00:00:00","Accomplice","A_JO_2786","Issobell","Smyth","T_JO_1027",,,,,"jhm","10_19_01_13:31:01","LEM","09_09_02_14:54:13"
"MW_JO_232","JO",232,"T_JO_1031","31_5_1661","05_31_61_00:00:00","Accomplice","A_JO_2786","Issobell","Smyth","T_JO_1027",,,,,"jhm","10_19_01_13:31:52","LEM","09_09_02_14:51:11"
"MW_JO_233","JO",233,"T_JO_1032","31_5_1661","05_31_61_00:00:00","Accomplice","A_JO_2786","Issobell","Smyth","T_JO_1027",,,,,"jhm","10_19_01_13:32:26","LEM","09_09_02_14:50:40"
"MW_JO_234","JO",234,"T_LA_404","31_5_1661","05_31_61_00:00:00","Accomplice","A_JO_2786","Issobell","Smyth","T_JO_1027",,,,,"jhm","10_19_01_13:32:57","LEM","09_09_02_14:56:00"
"MW_JO_235","JO",235,"T_LA_408","2_6_1661","06_02_61_00:00:00","Accomplice","A_JO_2786","Issobell","Smyth","T_JO_1033",,,,,"jhm","10_19_01_13:33:27","LEM","09_09_02_14:57:16"
"MW_JO_236","JO",236,"T_LA_408","31_5_1661","05_31_61_00:00:00","Accomplice","A_JO_2786","Issobell","Smyth",,,,,,"jhm","10_19_01_13:34:49","jhm","10_19_01_13:38:56"
