MentionRef,MentionSystemId,MentionID,Trialref,Mentiondate,Mentiondate_as_date,Mentiontype,TrialOfAccusedRef,TrialOfFirstName,TrialOfLastName,MentionedInTrialOfRef,dateOfMentionedTrial,dateOfMentionedTrial_as_date,FateOfMentionedWitch,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"MW_LA_220","LA",220,"T_LA_911","18_8_1590","08_18_90_00:00:00","Accomplice","A_EGD_43","Bessie","Roy","T_LA_910","17_8_1590","08_17_90_00:00:00","Strangled_burnt",,"LEM","10_08_01_15:00:22","LEM","10_08_01_15:01:04"
"MW_LA_221","LA",221,"T_LA_912","18_8_1590","08_18_90_00:00:00","Accomplice","A_EGD_43","Bessie","Roy","T_LA_910","17_8_1590","08_17_90_00:00:00","Strangled_burnt",,"LEM","10_08_01_15:01:24","LEM","10_08_01_15:01:50"
"MW_LA_222","LA",222,"T_LA_913","18_8_1590","08_18_90_00:00:00","Accomplice","A_EGD_43","Bessie","Roy","T_LA_910",,,,"she_confessed","LEM","10_08_01_15:03:11","LEM","10_08_01_15:03:32"
"MW_LA_223","LA",223,"T_LA_914","18_8_1590","08_18_90_00:00:00","Accomplice","A_EGD_43","Bessie","Roy","T_LA_910",,,"Fugitive",,"LEM","10_08_01_15:07:07","LEM","10_08_01_15:07:23"
"MW_LA_224","LA",224,"T_LA_915","18_8_1590","08_18_90_00:00:00","Accomplice","A_EGD_43","Bessie","Roy","T_LA_910",,,"Fugitive",,"LEM","10_08_01_15:08:47","LEM","10_08_01_15:09:07"
"MW_LA_225","LA",225,"T_LA_929","26_12_1590","12_26_90_00:00:00","Accomplice","A_EGD_48","John","Fean","T_LA_928",,,,,"LEM","10_09_01_09:55:47","LEM","09_09_02_14:41:11"
"MW_LA_226","LA",226,"T_LA_930","26_12_1590","12_26_90_00:00:00","Accomplice","A_EGD_48","John","Fean","T_LA_928",,,,,"LEM","10_09_01_10:01:49","LEM","09_09_02_15:40:38"
"MW_LA_227","LA",227,"T_LA_931","26_12_1590","12_26_90_00:00:00","Accomplice","A_EGD_48","John","Fean","T_LA_928","27_1_1591","01_27_91_00:00:00","Executed",,"LEM","10_09_01_10:04:41","LEM","09_09_02_15:19:34"
"MW_LA_228","LA",228,"T_LA_932","26_12_1590","12_26_90_00:00:00","Accomplice","A_EGD_48","John","Fean","T_LA_928",,,,,"LEM","10_09_01_10:08:04","LEM","09_09_02_15:23:05"
"MW_LA_229","LA",229,"T_LA_933","26_12_1590","12_26_90_00:00:00","Accomplice","A_EGD_48","John","Fean","T_LA_928",,,,,"LEM","10_09_01_10:10:14","LEM","09_09_02_15:40:46"
"MW_LA_311","LA",311,"T_LA_949","8_5_1591","05_08_91_00:00:00","Accomplice","A_EGD_92","Barbara","Napier","T_LA_72",,,,,"LEM","10_12_01_10:51:24","LEM","09_09_02_15:29:30"
"MW_LA_312","LA",312,"T_LA_950","8_5_1591","05_08_91_00:00:00","Accomplice","A_EGD_92","Barbara","Napier","T_LA_72",,,,,"LEM","10_12_01_11:46:49","LEM","09_09_02_15:29:10"
"MW_LA_313","LA",313,"T_LA_884","8_5_1591","05_08_91_00:00:00","Accomplice","A_EGD_92","Barbara","Napier",,,,,,"LEM","10_12_01_11:49:09","LEM","10_12_01_11:49:20"
"MW_LA_314","LA",314,"T_LA_952","8_5_1591","05_08_91_00:00:00","Accomplice","A_EGD_92","Barbara","Napier","T_LA_72",,,,,"LEM","10_12_01_11:50:10","LEM","09_09_02_15:28:33"
"MW_LA_315","LA",315,"T_LA_953","8_5_1591","05_08_91_00:00:00","Accomplice","A_EGD_92","Barbara","Napier","T_LA_72",,,,,"LEM","10_12_01_11:51:23","LEM","09_09_02_15:28:17"
"MW_LA_316","LA",316,"T_LA_963","8_5_1591","05_08_91_00:00:00","Accomplice","A_EGD_92","Barbara","Napier","T_LA_72",,,,,"LEM","10_12_01_11:52:35","LEM","09_09_02_15:23:54"
"MW_LA_317","LA",317,"T_LA_951","8_5_1591","05_08_91_00:00:00","Accomplice","A_EGD_92","Barbara","Napier","T_LA_72",,,,,"LEM","10_12_01_11:53:51","LEM","09_09_02_15:28:51"
"MW_LA_318","LA",318,"T_LA_955","8_5_1591","05_08_91_00:00:00","Accomplice","A_EGD_92","Barbara","Napier","T_LA_72",,,,,"LEM","10_12_01_12:20:29","LEM","09_09_02_15:27:51"
"MW_LA_319","LA",319,"T_LA_968","8_5_1591","05_08_91_00:00:00","Accomplice","A_EGD_92","Barbara","Napier","T_LA_72",,,,,"LEM","10_12_01_12:21:41","LEM","09_09_02_15:41:23"
"MW_LA_320","LA",320,"T_LA_956","8_5_1591","05_08_91_00:00:00","Accomplice","A_EGD_92","Barbara","Napier","T_LA_72",,,,,"LEM","10_12_01_12:22:35","LEM","09_09_02_15:27:22"
"MW_LA_321","LA",321,"T_LA_957","8_5_1591","05_08_91_00:00:00","Accomplice","A_EGD_92","Barbara","Napier","T_LA_72",,,,,"LEM","10_12_01_12:23:46","LEM","09_09_02_15:27:04"
"MW_LA_322","LA",322,"T_LA_958","8_5_1591","05_08_91_00:00:00","Accomplice","A_EGD_92","Barbara","Napier","T_LA_72",,,,,"LEM","10_12_01_12:24:46","LEM","09_09_02_15:25:39"
"MW_LA_323","LA",323,"T_LA_959","8_5_1591","05_08_91_00:00:00","Accomplice","A_EGD_92","Barbara","Napier","T_LA_72",,,,,"LEM","10_12_01_12:25:59","LEM","09_09_02_15:25:10"
