WhiteMagicRef,WhiteMagicSystemId,WhiteMagicID,CaseRef,WhiteMagic_Type,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"WM_LA_15","LA",15,"C_EGD_1277","Protective","LEM","10_16_01_12:58:03","LEM","10_16_01_12:58:16"
"WM_LA_16","LA",16,"C_EGD_1258","Protective","LEM","10_16_01_13:02:09","LEM","10_16_01_13:02:11"
"WM_LA_17","LA",17,"C_EGD_1276","Protective","LEM","10_16_01_13:11:37","LEM","10_16_01_13:11:38"
"WM_LA_18","LA",18,"C_EGD_1268","Protective","LEM","10_16_01_15:25:33","LEM","10_16_01_15:25:34"
"WM_LA_19","LA",19,"C_EGD_1269","Protective","LEM","10_16_01_15:48:55","LEM","10_16_01_15:48:58"
"WM_LA_20","LA",20,"C_EGD_29","Finding_lost_goods","LEM","10_18_01_09:40:22","LEM","10_18_01_09:40:23"
"WM_LA_21","LA",21,"C_EGD_29","Prophesy","LEM","10_18_01_10:01:49","LEM","10_18_01_10:01:56"
"WM_LA_22","LA",22,"C_EGD_1278","Protective","LEM","10_18_01_12:30:57","LEM","10_18_01_12:31:30"
"WM_LA_23","LA",23,"C_EGD_1278","Love_magic","LEM","10_18_01_12:31:31","LEM","10_18_01_12:31:33"
"WM_LA_24","LA",24,"C_EGD_1278","Prophesy","LEM","10_19_01_09:26:37","LEM","10_19_01_09:26:42"
"WM_LA_25","LA",25,"C_EGD_1293","Prophesy","LEM","10_22_01_16:03:15","LEM","10_22_01_16:03:17"
"WM_LA_26","LA",26,"C_EGD_1284","Protective","LEM","10_23_01_10:10:24","LEM","10_23_01_10:10:30"
"WM_LA_27","LA",27,"C_EGD_785","Prophesy","LEM","11_26_01_15:55:02","LEM","11_26_01_15:55:05"
"WM_LA_28","LA",28,"C_EGD_790","Protective","LEM","11_30_01_11:52:36","LEM","11_30_01_11:52:39"
"WM_LA_32","LA",32,"C_EGD_1777","Spirit_Medium","LEM","01_31_02_10:00:46","LEM","01_31_02_10:00:51"
"WM_LA_33","LA",33,"C_EGD_1094","Love_magic","LEM","05_02_02_16:03:38","LEM","05_02_02_16:03:51"
"WM_LA_45","LA",45,"C_LA_3044","Divination","LEM","06_17_02_15:13:44","LEM","06_17_02_15:13:55"
"WM_LA_46","LA",46,"C_EGD_2264","Love_magic","LEM","06_19_02_11:09:58","LEM","06_19_02_11:09:59"
