RitualObjectRef,RitualObjectSystemId,RitualObjectID,CaseRef,RitualObject_Type,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"RO_LA_282","LA",282,"C_EGD_110","Toad","LEM","10_10_01_15:48:12","LEM","10_10_01_15:48:14"
"RO_LA_283","LA",283,"C_EGD_108","Wax_clay_images","LEM","10_10_01_15:50:46","LEM","10_10_01_15:50:47"
"RO_LA_284","LA",284,"C_EGD_108","Snake_skin","LEM","10_10_01_15:51:01","LEM","10_10_01_15:51:03"
"RO_LA_285","LA",285,"C_EGD_108","Toad","LEM","10_10_01_15:51:04","LEM","10_10_01_15:51:05"
"RO_LA_286","LA",286,"C_EGD_108","Urine_(stale)","LEM","10_10_01_15:51:53","LEM","10_10_01_15:51:56"
"RO_LA_287","LA",287,"C_EGD_104","Cat","LEM","10_16_01_10:10:54","LEM","10_16_01_10:10:56"
"RO_LA_288","LA",288,"C_EGD_104","Wax_clay_images","LEM","10_16_01_10:10:58","LEM","10_16_01_10:11:00"
"RO_LA_289","LA",289,"C_EGD_104","Bowl","LEM","10_16_01_10:11:18","LEM","10_16_01_10:11:20"
"RO_LA_290","LA",290,"C_EGD_104","Grave_earth","LEM","10_16_01_10:12:21","LEM","10_16_01_10:12:25"
"RO_LA_291","LA",291,"C_EGD_104","Corpse_powder","LEM","10_16_01_10:12:27","LEM","10_16_01_10:12:29"
"RO_LA_292","LA",292,"C_EGD_104","Stones","LEM","10_16_01_10:13:08","LEM","10_16_01_10:13:12"
"RO_LA_293","LA",293,"C_EGD_104","Blood_(animal)","LEM","10_16_01_10:18:57","LEM","10_16_01_10:19:00"
"RO_LA_297","LA",297,"C_EGD_1258","Thread","LEM","10_16_01_12:06:41","jhm","11_13_02_12:48:26"
"RO_LA_298","LA",298,"C_EGD_1258","Water","LEM","10_16_01_12:09:17","LEM","10_16_01_12:09:59"
"RO_LA_299","LA",299,"C_EGD_1258","Coal","LEM","10_16_01_12:10:58","LEM","10_16_01_12:11:01"
"RO_LA_3","LA",3,"C_EGD_160","Salt","LEM","05_17_01_10:53:47","LEM","05_17_01_10:53:49"
"RO_LA_300","LA",300,"C_EGD_1258","Belt","LEM","10_16_01_12:11:11","LEM","10_16_01_12:11:13"
"RO_LA_301","LA",301,"C_EGD_1258","Hair","LEM","10_16_01_12:11:54","jhm","11_13_02_12:48:44"
"RO_LA_302","LA",302,"C_EGD_1258","Potions","LEM","10_16_01_12:22:52","LEM","10_16_01_12:23:00"
"RO_LA_303","LA",303,"C_EGD_1268","Water","LEM","10_16_01_15:25:20","LEM","10_16_01_15:25:20"
"RO_LA_304","LA",304,"C_EGD_1268","Cat","LEM","10_16_01_15:25:22","LEM","10_16_01_15:25:25"
"RO_LA_305","LA",305,"C_EGD_1268","Salt_water","LEM","10_16_01_15:27:55","LEM","10_16_01_15:27:59"
"RO_LA_306","LA",306,"C_EGD_1268","Salt","LEM","10_16_01_15:28:00","LEM","10_16_01_15:28:01"
"RO_LA_307","LA",307,"C_EGD_1268","Spit","LEM","10_16_01_15:28:14","LEM","10_16_01_15:28:20"
"RO_LA_308","LA",308,"C_EGD_1269","Silver","LEM","10_16_01_15:48:16","LEM","10_16_01_15:48:21"
"RO_LA_309","LA",309,"C_EGD_29","Herb","LEM","10_18_01_09:55:35","LEM","10_18_01_09:55:40"
"RO_LA_311","LA",311,"C_EGD_1278","Stones","LEM","10_18_01_12:25:33","LEM","10_18_01_12:25:34"
"RO_LA_312","LA",312,"C_EGD_1278","Water","LEM","10_18_01_12:25:35","LEM","10_18_01_12:25:37"
"RO_LA_313","LA",313,"C_EGD_1278","Herb","LEM","10_18_01_12:31:33","LEM","10_18_01_12:32:51"
"RO_LA_314","LA",314,"C_EGD_1278","Cloth","LEM","10_18_01_13:40:16","LEM","10_18_01_13:40:18"
"RO_LA_315","LA",315,"C_EGD_1339","Sieve","LEM","10_19_01_12:37:41","LEM","10_19_01_12:37:42"
"RO_LA_316","LA",316,"C_EGD_1284","Stones","LEM","10_23_01_10:46:40","LEM","10_23_01_10:46:42"
"RO_LA_317","LA",317,"C_EGD_1284","Sieve","LEM","10_23_01_10:46:44","LEM","10_23_01_10:46:47"
"RO_LA_318","LA",318,"C_EGD_1284","Iron_(hot)","LEM","10_23_01_10:46:55","LEM","10_23_01_10:46:57"
"RO_LA_319","LA",319,"C_EGD_1284","Water","LEM","10_23_01_10:47:37","LEM","10_23_01_10:47:45"
"RO_LA_32","LA",32,"C_EGD_103","Cat","LEM","05_28_01_13:55:19","LEM","05_28_01_13:55:22"
"RO_LA_320","LA",320,"C_EGD_1364","Lead","LEM","10_23_01_13:04:10","jhm","11_13_02_12:28:08"
"RO_LA_321","LA",321,"C_EGD_1364","Thread","LEM","10_23_01_13:04:17","jhm","11_13_02_12:29:04"
"RO_LA_322","LA",322,"C_EGD_882","Shirt","LEM","10_23_01_14:58:00","LEM","10_23_01_14:58:02"
"RO_LA_323","LA",323,"C_EGD_963","Ale","LEM","10_23_01_15:28:48","LEM","11_14_02_10:15:04"
"RO_LA_324","LA",324,"C_EGD_963","Bannock","LEM","10_23_01_15:28:53","LEM","10_23_01_15:28:54"
"RO_LA_325","LA",325,"C_EGD_964","Bannock","LEM","10_23_01_15:52:37","LEM","10_23_01_15:52:42"
"RO_LA_326","LA",326,"C_LA_2911","Wax_clay_images","LEM","11_21_01_14:52:19","LEM","11_21_01_14:52:23"
"RO_LA_327","LA",327,"C_LA_2911","Toad","LEM","11_21_01_14:52:30","LEM","11_21_01_14:52:32"
"RO_LA_328","LA",328,"C_EGD_317","Pin","LEM","11_29_01_12:16:31","LEM","11_29_01_12:16:35"
"RO_LA_329","LA",329,"C_EGD_317","Flesh","LEM","11_29_01_12:16:38","LEM","11_29_01_12:16:40"
"RO_LA_33","LA",33,"C_EGD_157","Water","LEM","06_12_01_09:46:06","LEM","06_12_01_09:46:08"
"RO_LA_330","LA",330,"C_EGD_317","Shirt","LEM","11_29_01_12:16:46","LEM","11_29_01_12:16:47"
"RO_LA_331","LA",331,"C_EGD_317","Foxtree_Leaves","LEM","11_29_01_12:16:49","LEM","11_29_01_12:17:00"
"RO_LA_332","LA",332,"C_EGD_790","Bannock","LEM","11_30_01_11:52:53","LEM","11_30_01_11:52:55"
"RO_LA_333","LA",333,"C_EGD_584","Flesh","LEM","12_03_01_09:38:16","LEM","12_03_01_09:38:20"
"RO_LA_334","LA",334,"C_EGD_584","Powder","LEM","12_03_01_09:38:27","LEM","12_03_01_09:38:30"
"RO_LA_335","LA",335,"C_EGD_1727","Flesh","LEM","12_03_01_09:42:51","LEM","12_03_01_09:42:54"
"RO_LA_339","LA",339,"C_EGD_1744","Fire","LEM","01_16_02_12:40:43","LEM","01_16_02_12:40:44"
"RO_LA_340","LA",340,"C_EGD_1744","Wax_clay_images","LEM","01_16_02_12:40:45","LEM","01_16_02_12:40:48"
"RO_LA_341","LA",341,"C_EGD_1773","Wax_clay_images","LEM","01_30_02_13:34:59","LEM","01_30_02_13:35:01"
"RO_LA_342","LA",342,"C_EGD_1778","Hair","LEM","01_31_02_09:31:14","jhm","11_13_02_13:43:28"
"RO_LA_343","LA",343,"C_EGD_1778","Blood_(animal)","LEM","01_31_02_09:31:17","LEM","01_31_02_09:31:22"
"RO_LA_344","LA",344,"C_EGD_1778","Wax_clay_images","LEM","01_31_02_09:31:23","LEM","01_31_02_09:31:27"
"RO_LA_345","LA",345,"C_EGD_1774","Stones","LEM","01_31_02_09:36:30","LEM","01_31_02_09:36:31"
"RO_LA_346","LA",346,"C_EGD_1774","Blood_(animal)","LEM","01_31_02_09:36:31","LEM","01_31_02_09:36:34"
"RO_LA_347","LA",347,"C_EGD_1774","Wax_clay_images","LEM","01_31_02_09:36:34","LEM","01_31_02_09:36:39"
"RO_LA_348","LA",348,"C_EGD_1773","Bone","LEM","01_31_02_09:52:52","LEM","01_31_02_09:52:57"
"RO_LA_349","LA",349,"C_EGD_1773","Blood_(animal)","LEM","01_31_02_09:52:58","LEM","01_31_02_09:52:59"
"RO_LA_35","LA",35,"C_EGD_157","Yarn","LEM","06_12_01_09:47:34","LEM","06_12_01_09:48:19"
"RO_LA_350","LA",350,"C_EGD_1773","Hair","LEM","01_31_02_09:53:01","jhm","11_13_02_13:43:41"
"RO_LA_351","LA",351,"C_LA_2959","Wax_clay_images","LEM","01_31_02_09:56:30","LEM","01_31_02_09:56:33"
"RO_LA_352","LA",352,"C_LA_2959","Bone","LEM","01_31_02_09:56:34","LEM","01_31_02_09:56:41"
"RO_LA_353","LA",353,"C_LA_2959","Hair","LEM","01_31_02_09:56:47","jhm","11_13_02_13:44:10"
"RO_LA_354","LA",354,"C_LA_2959","Blood_(animal)","LEM","01_31_02_09:56:52","LEM","01_31_02_09:56:52"
"RO_LA_355","LA",355,"C_EGD_1781","Wax_clay_images","LEM","01_31_02_09:57:40","LEM","01_31_02_09:57:41"
"RO_LA_356","LA",356,"C_EGD_1781","Bone","LEM","01_31_02_09:57:41","jhm","11_13_02_15:53:02"
"RO_LA_357","LA",357,"C_EGD_1781","Hair","LEM","01_31_02_09:57:46","jhm","11_13_02_13:44:41"
"RO_LA_358","LA",358,"C_EGD_1781","Blood_(animal)","LEM","01_31_02_09:57:48","LEM","01_31_02_09:57:50"
"RO_LA_359","LA",359,"C_EGD_1780","Wax_clay_images","LEM","01_31_02_09:59:18","LEM","01_31_02_09:59:19"
"RO_LA_36","LA",36,"C_EGD_157","Fire","LEM","06_12_01_09:50:31","LEM","06_12_01_09:50:34"
"RO_LA_360","LA",360,"C_EGD_1780","Blood_(animal)","LEM","01_31_02_09:59:20","LEM","01_31_02_09:59:21"
"RO_LA_361","LA",361,"C_EGD_1780","Hair","LEM","01_31_02_09:59:21","jhm","11_13_02_13:45:11"
"RO_LA_362","LA",362,"C_EGD_1780","Bone","LEM","01_31_02_09:59:23","jhm","10_22_02_10:50:27"
"RO_LA_363","LA",363,"C_EGD_1777","Wax_clay_images","LEM","01_31_02_09:59:46","LEM","01_31_02_09:59:48"
"RO_LA_364","LA",364,"C_EGD_1777","Blood_(animal)","LEM","01_31_02_09:59:49","LEM","01_31_02_09:59:50"
"RO_LA_365","LA",365,"C_EGD_1777","Bone","LEM","01_31_02_09:59:50","jhm","10_22_02_10:36:02"
"RO_LA_366","LA",366,"C_EGD_1777","Hair","LEM","01_31_02_09:59:53","jhm","11_13_02_13:45:40"
"RO_LA_368","LA",368,"C_LA_2968","Wax_clay_images","LEM","01_31_02_13:19:37","LEM","01_31_02_13:19:40"
"RO_LA_369","LA",369,"C_LA_2970","Bone","LEM","01_31_02_15:01:27","jhm","11_13_02_13:47:40"
"RO_LA_37","LA",37,"C_EGD_173","Horseshoe","LEM","06_15_01_13:24:43","LEM","06_15_01_13:25:12"
"RO_LA_370","LA",370,"C_LA_2970","Hair","LEM","01_31_02_15:01:29","jhm","11_13_02_13:45:49"
"RO_LA_371","LA",371,"C_LA_2970","Blood_(animal)","LEM","01_31_02_15:01:30","LEM","01_31_02_15:01:31"
"RO_LA_372","LA",372,"C_LA_2970","Wax_clay_images","LEM","01_31_02_15:01:31","LEM","01_31_02_15:01:33"
"RO_LA_373","LA",373,"C_LA_2972","Wax_clay_images","LEM","01_31_02_20:56:39","LEM","01_31_02_20:56:40"
"RO_LA_374","LA",374,"C_LA_2972","Bone","LEM","01_31_02_20:56:41","jhm","11_13_02_13:46:29"
"RO_LA_375","LA",375,"C_LA_2972","Hair","LEM","01_31_02_20:56:42","jhm","11_13_02_13:46:25"
"RO_LA_376","LA",376,"C_LA_2972","Blood_(animal)","LEM","01_31_02_20:56:46","LEM","01_31_02_20:56:47"
"RO_LA_377","LA",377,"C_EGD_1779","Wax_clay_images","LEM","01_31_02_21:08:15","LEM","01_31_02_21:08:17"
"RO_LA_378","LA",378,"C_EGD_1779","Blood_(animal)","LEM","01_31_02_21:08:24","LEM","01_31_02_21:08:25"
"RO_LA_379","LA",379,"C_EGD_1779","Bone","LEM","01_31_02_21:08:25","jhm","11_13_02_13:47:47"
"RO_LA_38","LA",38,"C_EGD_1605","Stones","LEM","06_19_01_13:43:49","LEM","06_19_01_13:43:51"
"RO_LA_380","LA",380,"C_EGD_1779","Hair","LEM","01_31_02_21:08:27","jhm","11_13_02_13:47:57"
"RO_LA_381","LA",381,"C_LA_2973","Bone","LEM","01_31_02_21:23:49","jhm","11_13_02_13:48:45"
"RO_LA_382","LA",382,"C_LA_2973","Hair","LEM","01_31_02_21:23:51","jhm","11_13_02_13:48:42"
"RO_LA_383","LA",383,"C_LA_2973","Blood_(animal)","LEM","01_31_02_21:23:53","LEM","01_31_02_21:23:55"
"RO_LA_384","LA",384,"C_LA_2973","Wax_clay_images","LEM","01_31_02_21:23:56","LEM","01_31_02_21:23:58"
"RO_LA_385","LA",385,"C_LA_2974","Hair","LEM","01_31_02_21:35:51","jhm","11_13_02_13:49:48"
"RO_LA_386","LA",386,"C_LA_2974","Bone","LEM","01_31_02_21:35:54","jhm","11_13_02_13:49:43"
"RO_LA_387","LA",387,"C_LA_2974","Blood_(animal)","LEM","01_31_02_21:35:57","LEM","01_31_02_21:35:59"
"RO_LA_388","LA",388,"C_LA_2974","Wax_clay_images","LEM","01_31_02_21:35:59","LEM","01_31_02_21:36:01"
"RO_LA_389","LA",389,"C_LA_2975","Hair","LEM","02_01_02_11:23:35","jhm","11_13_02_13:50:14"
"RO_LA_39","LA",39,"C_EGD_409","Thread","LEM","07_05_01_10:34:36","jhm","11_13_02_12:49:40"
"RO_LA_390","LA",390,"C_LA_2975","Bone","LEM","02_01_02_11:23:37","LEM","02_01_02_11:23:38"
"RO_LA_391","LA",391,"C_LA_2975","Blood_(animal)","LEM","02_01_02_11:23:42","LEM","02_01_02_11:23:43"
"RO_LA_392","LA",392,"C_LA_2975","Wax_clay_images","LEM","02_01_02_11:23:46","LEM","02_01_02_11:23:47"
"RO_LA_393","LA",393,"C_LA_2976","Wax_clay_images","LEM","02_01_02_11:46:43","LEM","02_01_02_11:46:44"
"RO_LA_394","LA",394,"C_LA_2976","Bone","LEM","02_01_02_11:46:45","LEM","02_01_02_11:46:45"
"RO_LA_395","LA",395,"C_LA_2976","Hair","LEM","02_01_02_11:46:46","jhm","11_13_02_13:50:42"
"RO_LA_396","LA",396,"C_LA_2976","Blood_(animal)","LEM","02_01_02_11:46:48","LEM","02_01_02_11:46:51"
"RO_LA_397","LA",397,"C_LA_2977","Wax_clay_images","LEM","02_01_02_11:57:53","LEM","02_01_02_11:57:54"
"RO_LA_398","LA",398,"C_LA_2977","Bone","LEM","02_01_02_11:57:55","LEM","02_01_02_11:57:57"
"RO_LA_399","LA",399,"C_LA_2977","Hair","LEM","02_01_02_11:57:57","jhm","11_13_02_13:51:12"
"RO_LA_4","LA",4,"C_EGD_160","Lee_Penny","LEM","05_17_01_10:53:52","LEM","05_17_01_10:53:54"
"RO_LA_40","LA",40,"C_EGD_409","Oil","LEM","07_05_01_10:34:46","LEM","07_05_01_10:35:01"
"RO_LA_400","LA",400,"C_LA_2977","Blood_(animal)","LEM","02_01_02_11:57:59","LEM","02_01_02_11:58:00"
"RO_LA_401","LA",401,"C_LA_2978","Bone","LEM","02_01_02_12:19:21","LEM","02_01_02_12:19:22"
"RO_LA_402","LA",402,"C_LA_2978","Hair","LEM","02_01_02_12:19:23","jhm","11_13_02_13:51:38"
"RO_LA_403","LA",403,"C_LA_2978","Blood_(animal)","LEM","02_01_02_12:19:43","LEM","02_01_02_12:19:44"
"RO_LA_404","LA",404,"C_LA_2978","Wax_clay_images","LEM","02_01_02_12:19:44","LEM","02_01_02_12:19:47"
"RO_LA_405","LA",405,"C_LA_2979","Wax_clay_images","LEM","02_01_02_12:31:22","LEM","02_01_02_12:31:24"
"RO_LA_406","LA",406,"C_LA_2979","Bone","LEM","02_01_02_12:31:25","LEM","02_01_02_12:31:26"
"RO_LA_407","LA",407,"C_LA_2979","Blood_(animal)","LEM","02_01_02_12:31:26","LEM","02_01_02_12:31:27"
"RO_LA_408","LA",408,"C_LA_2979","Hair","LEM","02_01_02_12:31:27","jhm","11_13_02_13:52:05"
"RO_LA_409","LA",409,"C_LA_2980","Wax_clay_images","LEM","02_01_02_12:41:16","LEM","02_01_02_12:41:17"
"RO_LA_41","LA",41,"C_EGD_409","Egg","LEM","07_05_01_10:35:08","LEM","07_05_01_10:35:12"
"RO_LA_410","LA",410,"C_LA_2980","Bone","LEM","02_01_02_12:41:17","LEM","02_01_02_12:41:19"
"RO_LA_411","LA",411,"C_LA_2980","Blood_(animal)","LEM","02_01_02_12:41:20","LEM","02_01_02_12:41:20"
"RO_LA_412","LA",412,"C_LA_2980","Hair","LEM","02_01_02_12:41:24","jhm","11_13_02_13:52:48"
"RO_LA_413","LA",413,"C_EGD_1935","Wax_clay_images","LEM","02_01_02_14:35:08","LEM","02_01_02_14:35:10"
"RO_LA_414","LA",414,"C_EGD_1935","Bone","LEM","02_01_02_14:35:11","LEM","02_01_02_14:35:12"
"RO_LA_415","LA",415,"C_EGD_1935","Hair","LEM","02_01_02_14:35:13","jhm","11_13_02_13:53:29"
"RO_LA_416","LA",416,"C_EGD_1935","Blood_(animal)","LEM","02_01_02_14:35:14","LEM","02_01_02_14:35:16"
"RO_LA_417","LA",417,"C_EGD_726","Wax_clay_images","LEM","02_18_02_15:27:26","LEM","02_18_02_15:27:30"
"RO_LA_418","LA",418,"C_EGD_743","Leather_Strap","LEM","02_18_02_15:47:32","LEM","02_18_02_15:47:37"
"RO_LA_419","LA",419,"C_EGD_743","Wax_clay_images","LEM","02_18_02_15:49:04","LEM","02_18_02_15:49:12"
"RO_LA_42","LA",42,"C_EGD_409","Garlic","LEM","07_05_01_10:35:30","LEM","07_05_01_10:35:33"
"RO_LA_420","LA",420,"C_EGD_745","Hair","LEM","02_18_02_15:52:06","jhm","11_13_02_13:54:10"
"RO_LA_421","LA",421,"C_EGD_745","Belt","LEM","02_18_02_15:52:30","LEM","02_18_02_15:52:32"
"RO_LA_422","LA",422,"C_EGD_748","Frog","LEM","02_18_02_18:34:25","LEM","02_18_02_18:34:28"
"RO_LA_423","LA",423,"C_EGD_748","Water","LEM","02_18_02_18:34:57","LEM","02_18_02_18:34:58"
"RO_LA_424","LA",424,"C_EGD_746","Frog","LEM","02_18_02_18:37:14","LEM","02_18_02_18:37:19"
"RO_LA_425","LA",425,"C_EGD_747","Frog","LEM","02_18_02_18:41:06","jhm","11_13_02_15:53:12"
"RO_LA_43","LA",43,"C_EGD_409","Aqua_Vitae","LEM","07_05_01_10:35:39","LEM","07_05_01_10:35:45"
"RO_LA_44","LA",44,"C_EGD_385","Salt","LEM","07_16_01_16:07:59","LEM","07_16_01_16:08:00"
"RO_LA_440","LA",440,"C_EGD_166","Cloth","LEM","04_17_02_22:25:29","LEM","04_17_02_22:25:30"
"RO_LA_441","LA",441,"C_EGD_166","Water","LEM","04_17_02_22:25:33","LEM","04_17_02_22:25:39"
"RO_LA_443","LA",443,"C_EGD_1094","Shirt","LEM","05_02_02_15:31:58","LEM","05_02_02_15:32:08"
"RO_LA_444","LA",444,"C_EGD_1094","Bannock","LEM","05_02_02_15:33:41","LEM","05_02_02_15:33:42"
"RO_LA_445","LA",445,"C_EGD_1094","Powder","LEM","05_02_02_15:33:42","LEM","05_02_02_15:33:46"
"RO_LA_446","LA",446,"C_EGD_1094","Amulet","LEM","05_02_02_15:40:33","LEM","05_02_02_15:40:47"
"RO_LA_447","LA",447,"C_EGD_1094","Nail","LEM","05_02_02_15:41:08","LEM","05_02_02_15:41:21"
"RO_LA_448","LA",448,"C_EGD_1094","Water","LEM","05_02_02_15:45:44","LEM","05_02_02_15:45:44"
"RO_LA_449","LA",449,"C_EGD_1094","Stones","LEM","05_02_02_15:55:58","LEM","05_02_02_15:56:01"
"RO_LA_450","LA",450,"C_EGD_162","Fire","LEM","05_06_02_20:14:12","LEM","05_06_02_20:14:14"
"RO_LA_451","LA",451,"C_EGD_166","Bird_(dead)","LEM","05_07_02_10:34:31","LEM","05_07_02_10:34:38"
"RO_LA_452","LA",452,"C_LA_2949","Flesh","LEM","05_09_02_12:00:19","LEM","05_09_02_12:00:21"
"RO_LA_5","LA",5,"C_EGD_160","Flask_of_Water","LEM","05_17_01_10:54:00","LEM","05_17_01_10:54:04"
"RO_LA_501","LA",501,"C_EGD_964","Meal","LEM","06_17_02_11:03:19","LEM","06_17_02_11:03:24"
"RO_LA_502","LA",502,"C_EGD_1284","Bone","LEM","06_17_02_12:02:09","LEM","06_17_02_12:02:12"
"RO_LA_503","LA",503,"C_EGD_2264","Bannock","LEM","06_19_02_11:12:28","LEM","06_19_02_11:12:28"
"RO_LA_504","LA",504,"C_EGD_2264","Water","LEM","06_19_02_11:12:29","LEM","06_19_02_11:12:35"
"RO_LA_505","LA",505,"C_EGD_2264","Thread","LEM","06_19_02_11:12:36","jhm","11_13_02_12:50:21"
"RO_LA_506","LA",506,"C_EGD_2212","Egg","LEM","06_19_02_12:01:07","LEM","06_19_02_12:01:09"
"RO_LA_507","LA",507,"C_EGD_2212","Herb","LEM","06_19_02_12:09:41","LEM","06_19_02_12:09:44"
"RO_LA_508","LA",508,"C_EGD_2220","Sea_Nut","LEM","06_19_02_14:03:52","LEM","06_19_02_14:04:17"
"RO_LA_509","LA",509,"C_EGD_2220","Hook","LEM","06_19_02_14:04:28","LEM","06_19_02_14:04:29"
"RO_LA_510","LA",510,"C_EGD_2219","Thread","LEM","06_19_02_14:25:19","jhm","11_13_02_12:50:34"
"RO_LA_511","LA",511,"C_LA_3054","Thread","LEM","06_19_02_15:11:16","jhm","11_13_02_12:50:50"
"RO_LA_512","LA",512,"C_EGD_2245","Blood_(animal)","LEM","06_19_02_15:19:36","LEM","06_19_02_15:19:40"
"RO_LA_513","LA",513,"C_EGD_2210","Thread","LEM","06_19_02_15:42:03","jhm","11_13_02_12:51:20"
"RO_LA_514","LA",514,"C_EGD_2210","Stones","LEM","06_19_02_15:44:17","LEM","06_19_02_15:44:18"
"RO_LA_515","LA",515,"C_EGD_2210","Earth","LEM","06_19_02_15:44:19","LEM","06_19_02_15:44:30"
"RO_LA_516","LA",516,"C_EGD_2234","Water","LEM","06_19_02_15:49:09","LEM","06_19_02_15:49:10"
"RO_LA_517","LA",517,"C_EGD_2234","Knife","LEM","06_19_02_15:49:10","LEM","06_19_02_15:49:12"
"RO_LA_518","LA",518,"C_EGD_2234","Corn","LEM","06_19_02_15:49:55","LEM","06_19_02_15:50:10"
"RO_LA_519","LA",519,"C_EGD_2257","Coin","LEM","06_19_02_16:10:45","LEM","06_19_02_16:10:57"
"RO_LA_520","LA",520,"C_EGD_2215","Ash","LEM","06_19_02_16:16:12","LEM","06_19_02_16:16:16"
"RO_LA_521","LA",521,"C_EGD_2215","Cloth","LEM","06_19_02_16:16:17","LEM","06_19_02_16:16:18"
"RO_LA_522","LA",522,"C_EGD_2255","Cloth","LEM","06_19_02_16:18:49","LEM","06_19_02_16:18:49"
"RO_LA_523","LA",523,"C_EGD_2255","Hair","LEM","06_19_02_16:18:50","jhm","11_13_02_13:54:30"
"RO_LA_524","LA",524,"C_EGD_2255","Salt_water","LEM","06_19_02_16:19:41","LEM","06_19_02_16:19:48"
"RO_LA_525","LA",525,"C_EGD_2263","Water","LEM","06_19_02_16:28:05","LEM","06_19_02_16:28:06"
"RO_LA_526","LA",526,"C_EGD_2263","Stones","LEM","06_19_02_16:28:43","LEM","06_19_02_16:28:46"
"RO_LA_527","LA",527,"C_EGD_2256","Stones","LEM","06_20_02_12:02:29","LEM","06_20_02_12:02:31"
"RO_LA_528","LA",528,"C_EGD_2256","Water","LEM","06_20_02_12:02:31","LEM","06_20_02_12:02:32"
"RO_LA_529","LA",529,"C_EGD_2256","Lead","LEM","06_20_02_12:02:34","jhm","11_13_02_12:29:26"
"RO_LA_530","LA",530,"C_EGD_2256","Wax","LEM","06_20_02_12:02:36","jhm","11_13_02_12:33:11"
"RO_LA_531","LA",531,"C_EGD_2256","Herb","LEM","06_20_02_12:03:53","LEM","06_20_02_12:03:55"
"RO_LA_532","LA",532,"C_EGD_2256","Oil","LEM","06_20_02_12:03:55","LEM","06_20_02_12:03:57"
"RO_LA_533","LA",533,"C_EGD_2256","Aqua_Vitae","LEM","06_20_02_12:04:41","LEM","06_20_02_12:05:25"
"RO_LA_534","LA",534,"C_LA_3054","Salt","LEM","06_20_02_12:10:31","LEM","06_20_02_12:10:32"
"RO_LA_535","LA",535,"C_LA_3054","Cloth","LEM","06_20_02_12:10:59","LEM","06_20_02_12:11:01"
"RO_LA_536","LA",536,"C_LA_3054","Herb","LEM","06_20_02_12:13:29","LEM","06_20_02_12:13:42"
"RO_LA_559","LA",559,"C_EGD_699","Wax_clay_images","LEM","07_09_02_18:13:40","LEM","07_09_02_18:13:48"
"RO_LA_560","LA",560,"C_LA_3102","Clay","LEM","07_10_02_09:14:41","jhm","11_13_02_12:27:15"
"RO_LA_561","LA",561,"C_LA_3102","Thread","LEM","07_10_02_09:14:47","jhm","11_13_02_12:27:37"
"RO_LA_562","LA",562,"C_LA_3102","Snail","LEM","07_10_02_09:14:51","LEM","07_10_02_09:14:55"
"RO_LA_563","LA",563,"C_LA_3102","Watercress","LEM","07_10_02_09:14:58","LEM","07_10_02_09:15:07"
"RO_LA_564","LA",564,"C_EGD_129","Cloth","LEM","07_10_02_09:27:18","jhm","10_03_02_12:24:00"
"RO_LA_565","LA",565,"C_EGD_129","Iron","LEM","07_10_02_09:27:27","LEM","07_10_02_09:27:32"
"RO_LA_566","LA",566,"C_EGD_129","Herb","LEM","07_10_02_09:30:45","LEM","07_10_02_09:30:47"
"RO_LA_567","LA",567,"C_EGD_129","Water","LEM","07_10_02_09:30:48","LEM","07_10_02_09:30:50"
"RO_LA_568","LA",568,"C_EGD_217","Rowan_tree","LEM","07_10_02_10:05:35","LEM","07_10_02_10:05:37"
"RO_LA_569","LA",569,"C_EGD_217","Cat","LEM","07_10_02_10:09:46","LEM","07_10_02_10:09:47"
"RO_LA_570","LA",570,"C_EGD_212","Belt","LEM","07_10_02_13:19:28","LEM","07_10_02_13:19:29"
"RO_LA_571","LA",571,"C_EGD_1605","Herb","LEM","07_12_02_09:48:52","LEM","07_12_02_09:48:55"
"RO_LA_572","LA",572,"C_EGD_1605","Water","LEM","07_12_02_09:48:56","LEM","07_12_02_09:49:07"
"RO_LA_573","LA",573,"C_EGD_1605","Flesh","LEM","07_12_02_09:56:25","LEM","07_12_02_09:57:07"
"RO_LA_574","LA",574,"C_EGD_785","Fire","LEM","07_15_02_10:55:08","LEM","07_15_02_10:55:10"
"RO_LA_575","LA",575,"C_EGD_785","Smoke","LEM","07_15_02_10:56:01","LEM","07_15_02_10:56:05"
"RO_LA_576","LA",576,"C_EGD_785","Belt","LEM","07_15_02_11:01:33","LEM","07_15_02_11:02:00"
"RO_LA_577","LA",577,"C_LA_3130","Cloth","LEM","07_15_02_12:08:36","LEM","07_15_02_12:08:38"
"RO_LA_578","LA",578,"C_LA_3130","Powder","LEM","07_15_02_12:08:39","LEM","07_15_02_12:08:42"
"RO_LA_579","LA",579,"C_EGD_317","Water","LEM","07_18_02_09:25:23","LEM","07_18_02_09:25:38"
"RO_LA_580","LA",580,"C_EGD_317","Belt","LEM","07_18_02_09:29:07","LEM","07_18_02_09:29:09"
"RO_LA_581","LA",581,"C_EGD_317","Thread","LEM","07_18_02_09:29:09","jhm","11_13_02_12:52:09"
"RO_LA_582","LA",582,"C_EGD_316","Water","LEM","07_18_02_09:33:30","LEM","07_18_02_09:33:32"
"RO_LA_583","LA",583,"C_EGD_316","Meal","LEM","07_18_02_09:33:35","LEM","07_18_02_09:33:36"
"RO_LA_584","LA",584,"C_EGD_316","Straw","LEM","07_18_02_09:33:36","LEM","07_18_02_09:33:41"
