ComplaintRef,ComplaintSystemId,ComplaintID,Trialref,Complaint,Complaint_type,Complaintdate,Complaintdate_as_date,Wherelodged,Accused_familyRef,PersonRef,Involvement,WitchPricker,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"CP_LA_7","LA",7,"T_LA_104",1,"Suspect's","16_12_1633","12_16_33_00:00:00","Privy_Council",,,,0,"LEM","06_15_01_12:04:52","LEM","06_15_01_12:06:14"
"CP_LA_70","LA",70,"T_LA_157",1,"Suspect's",,,"High_Court",,,,0,"LEM","07_10_02_16:22:20","LEM","07_10_02_16:22:31"
"CP_LA_71","LA",71,"T_LA_1566",1,"Family_member","22_4_1659","04_22_59_00:00:00","High_Court","AF_LA_497",,,0,"LEM","07_15_02_10:24:38","LEM","07_15_02_10:29:31"
"CP_LA_72","LA",72,"T_LA_1115",1,"Suspect's",,,"King",,,,0,"LEM","07_26_02_09:41:14","LEM","07_26_02_09:41:24"
"CP_LA_73","LA",73,"T_JO_1699",1,"Suspect's","1_5_1705","05_01_05_00:00:00","Privy_Council",,,,0,"LEM","08_14_02_15:50:45","LEM","08_14_02_15:51:00"
"CP_LA_74","LA",74,"T_LA_1247",1,"Suspect's","6_1_1699","01_06_99_00:00:00","Privy_Council",,,,0,"LEM","08_28_02_10:48:20","LEM","08_28_02_10:48:50"
"CP_LA_75","LA",75,"T_JO_1174",1,"Suspect's",,,"Committee_of_Estates",,,,0,"LEM","09_02_02_11:52:17","LEM","09_02_02_11:52:21"
"CP_LA_76","LA",76,"T_JO_416",1,"Suspect's","3_10_1661","10_03_61_00:00:00","Privy_Council",,,,0,"LEM","09_11_02_16:44:22","LEM","09_11_02_16:44:55"
"CP_LA_8","LA",8,"T_LA_104",1,"Suspect's","9_1_1634","01_09_34_00:00:00","Privy_Council",,,,0,"LEM","06_15_01_12:06:16","LEM","06_15_01_12:07:09"
"CP_LA_9","LA",9,"T_LA_104",1,"Suspect's","11_2_1634","02_11_34_00:00:00","Privy_Council",,,,0,"LEM","06_15_01_12:07:11","LEM","06_15_01_12:07:28"
